Specimen properties : Specimen label,"2C"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"7.83000",mm
Specimen properties : Width,"8.99000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 9:10:39 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"8.00000","0.13201","190.02177","0.00605","16.54860","0.13195"
"8.10000","0.13348","191.21130","0.00612","16.65220","0.13342"
"8.20000","0.13527","193.20988","0.00620","16.82625","0.13521"
"8.30000","0.13698","194.93208","0.00628","16.97623","0.13691"
"8.40000","0.13848","196.29492","0.00635","17.09492","0.13842"
"8.50000","0.14015","197.85071","0.00643","17.23041","0.14008"
"8.60000","0.14225","200.55582","0.00652","17.46599","0.14219"
"8.70000","0.14363","201.45882","0.00659","17.54463","0.14357"
"8.80000","0.14513","202.88152","0.00666","17.66853","0.14507"
"8.90000","0.14706","205.02936","0.00674","17.85559","0.14700"
"9.00000","0.14862","206.57512","0.00682","17.99020","0.14856"
"9.10000","0.15009","207.77965","0.00688","18.09510","0.15003"
"9.20000","0.15183","209.67366","0.00696","18.26005","0.15177"
"9.30000","0.15391","212.07475","0.00706","18.46915","0.15385"
"9.40000","0.15532","213.22186","0.00712","18.56905","0.15526"
"9.50000","0.15680","214.50694","0.00719","18.68097","0.15674"
"9.60000","0.15870","216.65077","0.00728","18.86767","0.15863"
"9.70000","0.16029","218.05219","0.00735","18.98972","0.16023"
"9.80000","0.16176","219.53862","0.00742","19.11917","0.16170"
"9.90000","0.16361","221.60709","0.00750","19.29930","0.16355"
"10.00000","0.16556","223.77092","0.00759","19.48775","0.16550"
"10.10000","0.16689","224.82111","0.00765","19.57921","0.16682"
"10.20000","0.16841","226.32240","0.00772","19.70995","0.16835"
"10.30000","0.17046","228.72678","0.00782","19.91934","0.17040"
"10.40000","0.17194","229.95442","0.00789","20.02626","0.17187"
"10.50000","0.17341","231.24680","0.00795","20.13881","0.17335"
"10.60000","0.17533","233.63377","0.00804","20.34668","0.17527"
"10.70000","0.17717","235.56224","0.00813","20.51463","0.17711"
"10.80000","0.17855","236.63887","0.00819","20.60839","0.17849"
"10.90000","0.18015","238.25871","0.00826","20.74946","0.18009"
"11.00000","0.18212","240.65228","0.00835","20.95791","0.18205"
"11.10000","0.18356","241.85287","0.00842","21.06247","0.18350"
"11.20000","0.18509","243.38791","0.00849","21.19615","0.18503"
"11.30000","0.18708","245.86397","0.00858","21.41179","0.18702"
"11.40000","0.18881","247.66159","0.00866","21.56834","0.18874"
"11.50000","0.19019","248.73575","0.00872","21.66188","0.19013"
"11.60000","0.19185","250.51192","0.00880","21.81657","0.19179"
"11.70000","0.19386","252.90305","0.00889","22.02481","0.19380"
"11.80000","0.19517","253.72487","0.00895","22.09638","0.19511"
"11.90000","0.19668","255.23119","0.00902","22.22756","0.19662"
"12.00000","0.19881","258.09586","0.00912","22.47704","0.19875"
"12.10000","0.20047","259.58105","0.00919","22.60638","0.20041"
"12.20000","0.20183","260.69168","0.00926","22.70310","0.20177"
"12.30000","0.20356","262.63773","0.00934","22.87258","0.20350"
"12.40000","0.20545","264.86633","0.00942","23.06666","0.20538"
"12.50000","0.20685","265.81693","0.00949","23.14945","0.20679"
"12.60000","0.20837","267.44489","0.00956","23.29122","0.20831"
"12.70000","0.21053","270.32867","0.00966","23.54237","0.21047"
"12.80000","0.21204","271.65671","0.00973","23.65802","0.21198"
"12.90000","0.21344","272.72391","0.00979","23.75096","0.21338"
"13.00000","0.21524","274.83014","0.00987","23.93439","0.21517"
"13.10000","0.21712","277.07721","0.00996","24.13008","0.21706"
"13.20000","0.21850","278.10876","0.01002","24.21992","0.21844"
"13.30000","0.22008","279.60452","0.01009","24.35018","0.22002"
"13.40000","0.22221","282.42160","0.01019","24.59552","0.22215"
"13.50000","0.22368","283.61728","0.01026","24.69964","0.22361"
"13.60000","0.22509","284.97461","0.01032","24.81785","0.22502"
"13.70000","0.22697","287.17603","0.01041","25.00957","0.22691"
"13.80000","0.22877","289.22330","0.01049","25.18786","0.22871"
"13.90000","0.23014","290.26724","0.01056","25.27878","0.23008"
"14.00000","0.23174","292.06393","0.01063","25.43525","0.23168"
"14.10000","0.23391","294.90939","0.01073","25.68305","0.23384"
"14.20000","0.23532","296.07880","0.01079","25.78489","0.23526"
"14.30000","0.23676","297.22766","0.01086","25.88494","0.23670"
"14.40000","0.23869","299.73178","0.01095","26.10302","0.23863"
"14.50000","0.24036","301.32086","0.01102","26.24141","0.24030"
"14.60000","0.24178","302.67722","0.01109","26.35954","0.24172"
"14.70000","0.24344","304.44742","0.01117","26.51370","0.24338"
"14.80000","0.24567","307.48441","0.01127","26.77818","0.24561"
"14.90000","0.24698","308.42410","0.01133","26.86002","0.24692"
"15.00000","0.24841","309.70694","0.01139","26.97174","0.24835"
"15.10000","0.25036","312.18607","0.01148","27.18764","0.25030"
"15.20000","0.25203","313.78241","0.01156","27.32666","0.25197"
"15.30000","0.25346","315.09589","0.01163","27.44105","0.25340"
"15.40000","0.25519","316.99899","0.01170","27.60679","0.25513"
"15.50000","0.25721","319.61215","0.01180","27.83436","0.25715"
"15.60000","0.25858","320.67700","0.01186","27.92710","0.25852"
