Specimen properties : Specimen label,"4A"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"8.42000",mm
Specimen properties : Width,"9.93000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 8:25:52 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"9.30000","0.15424","220.48286","0.00760","15.03290","0.15409"
"9.40000","0.15563","221.87437","0.00767","15.12777","0.15548"
"9.50000","0.15708","223.36890","0.00774","15.22967","0.15693"
"9.60000","0.15890","225.78889","0.00783","15.39467","0.15875"
"9.70000","0.16068","228.00143","0.00792","15.54552","0.16053"
"9.80000","0.16208","229.48990","0.00799","15.64701","0.16193"
"9.90000","0.16374","231.42688","0.00807","15.77908","0.16358"
"10.00000","0.16597","234.66666","0.00818","15.99997","0.16582"
"10.10000","0.16729","235.85002","0.00825","16.08065","0.16714"
"10.20000","0.16876","237.46118","0.00832","16.19051","0.16861"
"10.30000","0.17060","239.86169","0.00841","16.35418","0.17045"
"10.40000","0.17226","241.91737","0.00849","16.49434","0.17211"
"10.50000","0.17377","243.68938","0.00857","16.61516","0.17362"
"10.60000","0.17551","245.92874","0.00865","16.76784","0.17536"
"10.70000","0.17753","248.68858","0.00875","16.95601","0.17738"
"10.80000","0.17890","250.14305","0.00882","17.05518","0.17875"
"10.90000","0.18042","251.89798","0.00889","17.17483","0.18027"
"11.00000","0.18237","254.53619","0.00899","17.35471","0.18222"
"11.10000","0.18391","256.29596","0.00907","17.47469","0.18376"
"11.20000","0.18537","257.99258","0.00914","17.59037","0.18521"
"11.30000","0.18719","260.33743","0.00923","17.75025","0.18704"
"11.40000","0.18917","263.18158","0.00933","17.94417","0.18902"
"11.50000","0.19059","264.58633","0.00940","18.03995","0.19043"
"11.60000","0.19210","266.52512","0.00947","18.17213","0.19195"
"11.70000","0.19401","269.08395","0.00956","18.34660","0.19386"
"11.80000","0.19556","270.74405","0.00964","18.45979","0.19541"
"11.90000","0.19704","272.66840","0.00971","18.59099","0.19689"
"12.00000","0.19895","275.29556","0.00981","18.77012","0.19880"
"12.10000","0.20083","277.84329","0.00990","18.94383","0.20067"
"12.20000","0.20216","279.27686","0.00997","19.04157","0.20201"
"12.30000","0.20373","281.17218","0.01004","19.17080","0.20358"
"12.40000","0.20578","284.22418","0.01014","19.37889","0.20563"
"12.50000","0.20721","285.88965","0.01022","19.49244","0.20706"
"12.60000","0.20868","287.45712","0.01029","19.59931","0.20853"
"12.70000","0.21069","290.59769","0.01039","19.81344","0.21054"
"12.80000","0.21244","292.71619","0.01047","19.95789","0.21229"
"12.90000","0.21383","294.37485","0.01054","20.07098","0.21368"
"13.00000","0.21548","296.46085","0.01062","20.21320","0.21533"
"13.10000","0.21738","299.16537","0.01072","20.39760","0.21723"
"13.20000","0.21884","300.82907","0.01079","20.51104","0.21868"
"13.30000","0.22038","302.79263","0.01087","20.64491","0.22023"
"13.40000","0.22246","305.93460","0.01097","20.85914","0.22231"
"13.50000","0.22408","307.83432","0.01105","20.98867","0.22393"
"13.60000","0.22546","309.38794","0.01112","21.09459","0.22531"
"13.70000","0.22719","311.71664","0.01120","21.25337","0.22704"
"13.80000","0.22912","314.35565","0.01130","21.43330","0.22897"
"13.90000","0.23046","315.73471","0.01136","21.52733","0.23031"
"14.00000","0.23198","317.72192","0.01144","21.66282","0.23183"
"14.10000","0.23416","321.03162","0.01155","21.88848","0.23401"
"14.20000","0.23573","322.90491","0.01162","22.01620","0.23558"
"14.30000","0.23712","324.48993","0.01169","22.12427","0.23697"
"14.40000","0.23886","326.92743","0.01178","22.29047","0.23871"
"14.50000","0.24071","329.54333","0.01187","22.46882","0.24056"
"14.60000","0.24212","331.01370","0.01194","22.56908","0.24197"
"14.70000","0.24367","333.12064","0.01201","22.71273","0.24352"
"14.80000","0.24585","336.41312","0.01212","22.93722","0.24570"
"14.90000","0.24731","338.11087","0.01219","23.05297","0.24716"
"15.00000","0.24872","339.68509","0.01226","23.16031","0.24857"
"15.10000","0.25059","342.40616","0.01236","23.34583","0.25044"
"15.20000","0.25240","344.84833","0.01244","23.51234","0.25224"
"15.30000","0.25379","346.41687","0.01251","23.61929","0.25364"
"15.40000","0.25538","348.50882","0.01259","23.76192","0.25523"
"15.50000","0.25754","351.82083","0.01270","23.98774","0.25738"
"15.60000","0.25896","353.39648","0.01277","24.09517","0.25881"
"15.70000","0.26037","355.15680","0.01284","24.21519","0.26022"
"15.80000","0.26230","357.91089","0.01293","24.40297","0.26215"
"15.90000","0.26402","360.20700","0.01302","24.55952","0.26387"
"16.00000","0.26542","361.72714","0.01309","24.66317","0.26527"
"16.10000","0.26709","364.02783","0.01317","24.82004","0.26694"
"16.20000","0.26921","367.38367","0.01327","25.04884","0.26906"
"16.30000","0.27060","368.74673","0.01334","25.14178","0.27045"
"16.40000","0.27206","370.51807","0.01341","25.26255","0.27191"
"16.50000","0.27404","373.52448","0.01351","25.46753","0.27389"
"16.60000","0.27564","375.48837","0.01359","25.60143","0.27549"
"16.70000","0.27707","377.26559","0.01366","25.72261","0.27692"
"16.80000","0.27876","379.57803","0.01375","25.88027","0.27861"
"16.90000","0.28094","382.82410","0.01385","26.10160","0.28079"
"17.00000","0.28224","384.14304","0.01392","26.19152","0.28209"
"17.10000","0.28370","385.89359","0.01399","26.31088","0.28355"
"17.20000","0.28570","388.87198","0.01409","26.51395","0.28555"
"17.30000","0.28729","390.85654","0.01417","26.64926","0.28714"
"17.40000","0.28874","392.57584","0.01424","26.76649","0.28859"
"17.50000","0.29053","395.04654","0.01433","26.93494","0.29038"
"17.60000","0.29248","397.92688","0.01442","27.13133","0.29233"
"17.70000","0.29386","399.33160","0.01449","27.22711","0.29371"
"17.80000","0.29538","401.32251","0.01457","27.36285","0.29523"
"17.90000","0.29745","404.46222","0.01467","27.57692","0.29730"
"18.00000","0.29893","406.15280","0.01474","27.69219","0.29878"
"18.10000","0.30037","407.91663","0.01481","27.81245","0.30022"
"18.20000","0.30229","410.72263","0.01491","28.00377","0.30214"
"18.30000","0.30412","413.37170","0.01500","28.18438","0.30397"
"18.40000","0.30550","414.66043","0.01506","28.27225","0.30535"
"18.50000","0.30706","416.77390","0.01514","28.41635","0.30691"
"18.60000","0.30909","419.84650","0.01524","28.62585","0.30894"
"18.70000","0.31056","421.57425","0.01531","28.74365","0.31041"
"18.80000","0.31203","423.35208","0.01539","28.86486","0.31188"
"18.90000","0.31404","426.39523","0.01549","29.07235","0.31389"
"19.00000","0.31578","428.75543","0.01557","29.23327","0.31563"
"19.10000","0.31714","430.14972","0.01564","29.32834","0.31699"
"19.20000","0.31875","432.29056","0.01572","29.47430","0.31860"
"19.30000","0.32076","435.36118","0.01582","29.68366","0.32061"
"19.40000","0.32219","436.77148","0.01589","29.77982","0.32204"
"19.50000","0.32370","438.76910","0.01596","29.91602","0.32355"
"19.60000","0.32583","442.12085","0.01607","30.14455","0.32568"
"19.70000","0.32736","443.88153","0.01614","30.26460","0.32721"
"19.80000","0.32877","445.61581","0.01621","30.38284","0.32862"
"19.90000","0.33044","447.79614","0.01630","30.53150","0.33029"
"20.00000","0.33244","450.81989","0.01639","30.73767","0.33229"
