General : End date,"3/27/2025"
Maximum Load : Time at Maximum Load,"40.10000",s
Maximum Load : Maximum Load,"10267.22754",N
Maximum Load : Compressive stress at Maximum Load,"167.66243",MPa
Maximum Load : Compressive strain (Extension) at Maximum Load,"0.00800",mm/mm
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Test : Rate 1,"1.20000",mm/min

Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","13.75791","0.22466","0.00000"
"0.10000","0.00028","15.40737","0.25160","0.00000"
"0.20000","0.00127","22.66609","0.37013","0.00001"
"0.30000","0.00334","39.81197","0.65012","0.00003"
"0.40000","0.00605","62.86212","1.02653","0.00006"
"0.50000","0.00769","76.67764","1.25214","0.00008"
"0.60000","0.00989","95.86939","1.56553","0.00010"
"0.70000","0.01222","113.78981","1.85817","0.00012"
"0.80000","0.01384","124.99686","2.04118","0.00014"
"0.90000","0.01603","138.49805","2.26165","0.00016"
"1.00000","0.01798","139.74533","2.28202","0.00018"
"1.10000","0.01971","143.83104","2.34874","0.00020"
"1.20000","0.02215","150.84154","2.46322","0.00022"
"1.30000","0.02406","153.50465","2.50671","0.00024"
"1.40000","0.02572","158.32967","2.58550","0.00026"
"1.50000","0.02818","164.87402","2.69237","0.00028"
"1.60000","0.02989","166.92744","2.72590","0.00030"
"1.70000","0.03177","172.00304","2.80879","0.00032"
"1.80000","0.03426","177.95108","2.90592","0.00034"
"1.90000","0.03596","179.88303","2.93747","0.00036"
"2.00000","0.03779","185.03526","3.02160","0.00038"
"2.10000","0.04022","190.30490","3.10765","0.00040"
"2.20000","0.04183","192.79958","3.14839","0.00042"
"2.30000","0.04383","198.91982","3.24833","0.00044"
"2.40000","0.04624","203.46536","3.32256","0.00046"
"2.50000","0.04787","206.76593","3.37646","0.00048"
"2.60000","0.04995","213.38737","3.48459","0.00050"
"2.70000","0.05210","217.43658","3.55071","0.00052"
"2.80000","0.05378","221.74487","3.62106","0.00054"
"2.90000","0.05601","230.07828","3.75715","0.00056"
"3.00000","0.05823","234.46301","3.82875","0.00058"
"3.10000","0.05979","239.30049","3.90774","0.00060"
"3.20000","0.06206","248.11122","4.05162","0.00062"
"3.30000","0.06403","252.11221","4.11696","0.00064"
"3.40000","0.06576","257.39883","4.20329","0.00066"
"3.50000","0.06826","266.02478","4.34415","0.00068"
"3.60000","0.07003","262.10751","4.28018","0.00070"
"3.70000","0.07176","258.85349","4.22704","0.00072"
"3.80000","0.07418","263.46500","4.30235","0.00074"
"3.90000","0.07596","265.03076","4.32792","0.00076"
"4.00000","0.07776","270.00482","4.40914","0.00078"
"4.10000","0.08035","279.20834","4.55943","0.00080"
"4.20000","0.08190","281.41412","4.59545","0.00082"
"4.30000","0.08379","288.04373","4.70371","0.00084"
"4.40000","0.08618","296.12369","4.83566","0.00086"
"4.50000","0.08787","299.48044","4.89047","0.00088"
"4.60000","0.08982","306.59167","5.00660","0.00090"
"4.70000","0.09228","314.38327","5.13384","0.00092"
"4.80000","0.09387","317.86563","5.19070","0.00094"
"4.90000","0.09592","326.64487","5.33407","0.00096"
"5.00000","0.09805","333.47098","5.44554","0.00098"
"5.10000","0.09979","339.22742","5.53954","0.00100"
"5.20000","0.10212","350.73996","5.72754","0.00102"
"5.30000","0.10415","355.68433","5.80828","0.00104"
"5.40000","0.10578","361.72354","5.90690","0.00106"
"5.50000","0.10806","373.58649","6.10062","0.00108"
"5.60000","0.11003","379.77716","6.20171","0.00110"
"5.70000","0.11176","386.65240","6.31398","0.00112"
"5.80000","0.11425","400.75485","6.54427","0.00114"
"5.90000","0.11602","405.51154","6.62195","0.00116"
"6.00000","0.11781","413.89459","6.75884","0.00118"
"6.10000","0.12017","426.55658","6.96561","0.00120"
"6.20000","0.12192","432.73923","7.06657","0.00122"
"6.30000","0.12377","442.05569","7.21871","0.00124"
"6.40000","0.12636","456.50018","7.45459","0.00126"
"6.50000","0.12795","461.51025","7.53640","0.00128"
"6.60000","0.12984","472.18542","7.71072","0.00130"
"6.70000","0.13212","484.29565","7.90848","0.00132"
"6.80000","0.13385","492.11905","8.03624","0.00134"
"6.90000","0.13588","504.46213","8.23780","0.00136"
