Specimen properties : Specimen label,"6"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"7.75000",mm
Specimen properties : Width,"10.30000",mm
Specimen properties : Support span,"28.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Monday, April 28, 2025 3:15:38 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"0.00000","0.00012","24.72248","0.00000","1.67842","0.00000"
"0.10000","0.00059","25.33160","0.00003","1.71977","0.00046"
"0.20000","0.00127","26.02658","0.00007","1.76696","0.00115"
"0.30000","0.00319","28.39173","0.00018","1.92753","0.00307"
"0.40000","0.00555","31.16873","0.00032","2.11606","0.00542"
"0.50000","0.00712","32.98339","0.00041","2.23926","0.00699"
"0.60000","0.00857","34.58150","0.00050","2.34775","0.00845"
"0.70000","0.01046","36.69503","0.00061","2.49124","0.01034"
"0.80000","0.01243","38.89616","0.00073","2.64068","0.01231"
"0.90000","0.01373","40.24575","0.00081","2.73230","0.01361"
"1.00000","0.01527","41.82383","0.00090","2.83944","0.01515"
"1.10000","0.01739","44.31272","0.00102","3.00841","0.01727"
"1.20000","0.01879","45.72089","0.00111","3.10401","0.01866"
"1.30000","0.02025","47.11736","0.00119","3.19882","0.02013"
"1.40000","0.02226","49.41614","0.00131","3.35488","0.02214"
"1.50000","0.02399","51.23378","0.00142","3.47828","0.02386"
"1.60000","0.02535","52.64037","0.00150","3.57378","0.02523"
"1.70000","0.02698","54.30965","0.00159","3.68711","0.02686"
"1.80000","0.02907","56.63058","0.00172","3.84468","0.02895"
"1.90000","0.03041","57.87370","0.00180","3.92907","0.03029"
"2.00000","0.03188","59.33717","0.00188","4.02843","0.03176"
"2.10000","0.03402","61.77017","0.00201","4.19360","0.03390"
"2.20000","0.03561","63.36226","0.00210","4.30169","0.03548"
"2.30000","0.03697","64.69927","0.00219","4.39246","0.03685"
"2.40000","0.03866","66.56300","0.00229","4.51899","0.03854"
"2.50000","0.04070","68.70674","0.00241","4.66453","0.04058"
"2.60000","0.04207","70.05776","0.00249","4.75625","0.04195"
"2.70000","0.04358","71.48429","0.00258","4.85310","0.04346"
"2.80000","0.04574","74.01102","0.00271","5.02464","0.04562"
"2.90000","0.04726","75.37739","0.00280","5.11740","0.04714"
"3.00000","0.04863","76.75956","0.00288","5.21124","0.04850"
"3.10000","0.05040","78.69413","0.00298","5.34258","0.05027"
"3.20000","0.05229","80.59993","0.00309","5.47197","0.05217"
"3.30000","0.05369","81.93869","0.00318","5.56285","0.05357"
"3.40000","0.05525","83.47652","0.00327","5.66726","0.05513"
"3.50000","0.05751","85.99963","0.00340","5.83855","0.05738"
"3.60000","0.05888","87.15985","0.00349","5.91732","0.05876"
"3.70000","0.06027","88.39307","0.00357","6.00104","0.06015"
"3.80000","0.06210","90.27798","0.00368","6.12901","0.06198"
"3.90000","0.06396","92.17484","0.00379","6.25779","0.06383"
"4.00000","0.06539","93.46558","0.00387","6.34542","0.06527"
"4.10000","0.06692","94.91212","0.00396","6.44363","0.06680"
"4.20000","0.06915","97.48031","0.00409","6.61798","0.06903"
"4.30000","0.07049","98.64028","0.00417","6.69673","0.07036"
"4.40000","0.07197","99.85978","0.00426","6.77952","0.07185"
"4.50000","0.07388","101.89753","0.00437","6.91787","0.07376"
"4.60000","0.07554","103.45347","0.00447","7.02350","0.07541"
"4.70000","0.07700","104.75564","0.00456","7.11191","0.07688"
"4.80000","0.07864","106.47202","0.00466","7.22843","0.07852"
"4.90000","0.08084","108.93032","0.00479","7.39533","0.08072"
"5.00000","0.08216","109.78358","0.00487","7.45326","0.08204"
"5.10000","0.08363","111.32272","0.00495","7.55775","0.08351"
"5.20000","0.08554","113.35887","0.00507","7.69598","0.08542"
"5.30000","0.08717","114.91727","0.00516","7.80178","0.08704"
"5.40000","0.08867","116.36478","0.00525","7.90006","0.08854"
"5.50000","0.09037","118.04815","0.00535","8.01434","0.09025"
"5.60000","0.09248","120.41371","0.00548","8.17494","0.09235"
"5.70000","0.09380","121.34262","0.00556","8.23800","0.09368"
"5.80000","0.09529","122.88461","0.00564","8.34269","0.09516"
"5.90000","0.09724","125.17077","0.00576","8.49790","0.09712"
"6.00000","0.09878","126.40477","0.00585","8.58168","0.09865"
"6.10000","0.10031","127.85069","0.00594","8.67984","0.10019"
"6.20000","0.10212","129.98285","0.00605","8.82459","0.10200"
"6.30000","0.10408","131.99870","0.00617","8.96145","0.10395"
"6.40000","0.10547","133.12584","0.00625","9.03797","0.10534"
"6.50000","0.10695","134.70813","0.00634","9.14540","0.10683"
"6.60000","0.10900","137.00760","0.00646","9.30151","0.10888"
"6.70000","0.11045","138.26038","0.00654","9.38656","0.11033"
"6.80000","0.11193","139.65891","0.00663","9.48151","0.11180"
"6.90000","0.11385","141.98425","0.00675","9.63937","0.11373"
"7.00000","0.11568","143.75603","0.00685","9.75966","0.11556"
"7.10000","0.11709","145.07442","0.00694","9.84917","0.11697"
"7.20000","0.11871","146.74702","0.00703","9.96272","0.11859"
"7.30000","0.12063","148.87764","0.00715","10.10737","0.12050"
"7.40000","0.12206","150.33450","0.00723","10.20628","0.12193"
"7.50000","0.12360","151.75421","0.00732","10.30266","0.12348"
"7.60000","0.12565","154.32700","0.00745","10.47733","0.12553"
"7.70000","0.12732","156.00455","0.00754","10.59122","0.12720"
"7.80000","0.12874","157.23369","0.00763","10.67467","0.12862"
"7.90000","0.13031","158.93098","0.00772","10.78990","0.13019"
"8.00000","0.13234","161.28465","0.00784","10.94969","0.13222"
"8.10000","0.13375","162.56477","0.00793","11.03659","0.13363"
"8.20000","0.13521","163.92113","0.00801","11.12868","0.13509"
"8.30000","0.13741","166.85983","0.00814","11.32819","0.13729"
"8.40000","0.13900","168.31757","0.00824","11.42715","0.13888"
"8.50000","0.14037","169.58994","0.00832","11.51354","0.14025"
"8.60000","0.14203","171.28757","0.00842","11.62879","0.14191"
"8.70000","0.14391","173.49904","0.00853","11.77893","0.14379"
"8.80000","0.14539","175.07663","0.00862","11.88603","0.14527"
"8.90000","0.14693","176.53090","0.00871","11.98476","0.14681"
"9.00000","0.14910","179.33273","0.00884","12.17498","0.14898"
"9.10000","0.15059","180.67226","0.00892","12.26592","0.15047"
"9.20000","0.15200","181.93265","0.00901","12.35149","0.15188"
"9.30000","0.15379","183.99698","0.00911","12.49164","0.15366"
"9.40000","0.15562","186.19017","0.00922","12.64053","0.15550"
"9.50000","0.15700","187.30278","0.00930","12.71607","0.15688"
"9.60000","0.15856","189.07222","0.00940","12.83620","0.15844"
"9.70000","0.16081","191.92741","0.00953","13.03004","0.16069"
"9.80000","0.16222","193.18880","0.00961","13.11567","0.16210"
"9.90000","0.16366","194.51227","0.00970","13.20552","0.16354"
"10.00000","0.16548","196.77214","0.00981","13.35895","0.16536"
"10.10000","0.16723","198.72816","0.00991","13.49174","0.16711"
"10.20000","0.16866","199.91714","0.01000","13.57246","0.16854"
"10.30000","0.17026","201.59525","0.01009","13.68639","0.17014"
"10.40000","0.17250","204.61124","0.01022","13.89115","0.17238"
"10.50000","0.17385","205.63086","0.01030","13.96037","0.17373"
"10.60000","0.17528","207.06099","0.01039","14.05746","0.17516"
"10.70000","0.17724","209.66866","0.01051","14.23450","0.17712"
"10.80000","0.17888","211.33661","0.01060","14.34774","0.17876"
"10.90000","0.18031","212.64809","0.01069","14.43677","0.18019"
"11.00000","0.18197","214.61333","0.01079","14.57019","0.18184"
"11.10000","0.18418","217.55745","0.01092","14.77007","0.18406"
"11.20000","0.18550","218.55305","0.01100","14.83766","0.18538"
"11.30000","0.18697","220.07341","0.01108","14.94088","0.18685"
"11.40000","0.18893","222.58073","0.01120","15.11110","0.18881"
"11.50000","0.19049","224.10103","0.01129","15.21432","0.19037"
"11.60000","0.19198","225.62421","0.01138","15.31773","0.19185"
"11.70000","0.19374","227.66394","0.01148","15.45621","0.19362"
"11.80000","0.19577","230.25169","0.01160","15.63189","0.19565"
"11.90000","0.19713","231.53026","0.01168","15.71869","0.19701"
"12.00000","0.19863","232.99814","0.01177","15.81835","0.19851"
"12.10000","0.20073","235.80009","0.01190","16.00857","0.20061"
"12.20000","0.20213","237.01343","0.01198","16.09095","0.20201"
"12.30000","0.20357","238.53975","0.01207","16.19457","0.20345"
"12.40000","0.20544","240.92743","0.01218","16.35667","0.20532"
"12.50000","0.20744","243.45560","0.01230","16.52831","0.20732"
"12.60000","0.20875","244.42390","0.01237","16.59405","0.20863"
"12.70000","0.21032","246.27515","0.01247","16.71973","0.21020"
"12.80000","0.21232","248.94458","0.01259","16.90096","0.21220"
"12.90000","0.21376","250.28978","0.01267","16.99228","0.21364"
"13.00000","0.21523","251.83177","0.01276","17.09697","0.21511"
"13.10000","0.21720","254.49274","0.01288","17.27763","0.21708"
"13.20000","0.21902","256.71582","0.01298","17.42855","0.21890"
"13.30000","0.22039","258.07364","0.01306","17.52073","0.22027"
"13.40000","0.22196","259.85361","0.01316","17.64158","0.22184"
"13.50000","0.22408","262.93854","0.01328","17.85102","0.22396"
"13.60000","0.22544","264.13611","0.01336","17.93232","0.22531"
"13.70000","0.22692","265.66653","0.01345","18.03622","0.22680"
"13.80000","0.22890","268.42474","0.01357","18.22347","0.22878"
"13.90000","0.23066","270.51669","0.01367","18.36550","0.23053"
"14.00000","0.23202","271.83115","0.01375","18.45474","0.23190"
"14.10000","0.23368","273.93726","0.01385","18.59772","0.23356"
"14.20000","0.23575","276.78574","0.01398","18.79111","0.23563"
"14.30000","0.23707","277.97443","0.01405","18.87181","0.23695"
"14.40000","0.23854","279.66537","0.01414","18.98661","0.23842"
"14.50000","0.24071","282.87683","0.01427","19.20463","0.24058"
"14.60000","0.24229","284.66406","0.01436","19.32597","0.24217"
"14.70000","0.24368","285.89938","0.01445","19.40984","0.24356"
"14.80000","0.24543","288.20447","0.01455","19.56633","0.24531"
"14.90000","0.24735","290.73465","0.01466","19.73810","0.24723"
"15.00000","0.24870","292.15430","0.01474","19.83449","0.24858"
"15.10000","0.25022","293.96637","0.01483","19.95751","0.25010"
"15.20000","0.25246","297.23413","0.01497","20.17936","0.25233"
"15.30000","0.25394","298.74261","0.01505","20.28177","0.25382"
"15.40000","0.25530","300.07904","0.01513","20.37250","0.25518"
"15.50000","0.25706","302.56848","0.01524","20.54151","0.25694"
"15.60000","0.25899","305.07794","0.01535","20.71188","0.25887"
"15.70000","0.26038","306.48410","0.01544","20.80734","0.26026"
"15.80000","0.26192","308.24490","0.01553","20.92688","0.26180"
"15.90000","0.26412","311.45865","0.01566","21.14507","0.26400"
"16.00000","0.26551","313.00082","0.01574","21.24977","0.26539"
"16.10000","0.26695","314.48758","0.01583","21.35070","0.26682"
"16.20000","0.26884","317.11676","0.01594","21.52920","0.26872"
"16.30000","0.27064","319.34119","0.01604","21.68022","0.27052"
"16.40000","0.27203","320.84436","0.01613","21.78227","0.27191"
"16.50000","0.27359","322.77576","0.01622","21.91339","0.27347"
"16.60000","0.27584","326.21335","0.01635","22.14677","0.27572"
"16.70000","0.27714","327.34732","0.01643","22.22375","0.27702"
"16.80000","0.27860","328.99118","0.01652","22.33536","0.27848"
"16.90000","0.28053","331.76331","0.01663","22.52356","0.28040"
"17.00000","0.28224","333.92587","0.01673","22.67038","0.28212"
"17.10000","0.28367","335.49869","0.01682","22.77715","0.28355"
"17.20000","0.28529","337.55716","0.01691","22.91691","0.28517"
"17.30000","0.28753","341.07986","0.01705","23.15606","0.28741"
