Specimen properties : Specimen label,"2"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"7.80000",mm
Specimen properties : Width,"10.60000",mm
Specimen properties : Support span,"28.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Monday, April 28, 2025 2:32:04 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"0.00000","0.00015","40.75668","0.00000","2.65432","0.00000"
"0.10000","0.00066","41.63433","0.00003","2.71148","0.00051"
"0.20000","0.00138","43.02443","0.00007","2.80201","0.00123"
"0.30000","0.00373","47.84120","0.00021","3.11570","0.00358"
"0.40000","0.00541","51.35355","0.00031","3.34445","0.00526"
"0.50000","0.00741","55.30297","0.00043","3.60166","0.00726"
"0.60000","0.00897","58.29100","0.00053","3.79626","0.00882"
"0.70000","0.01043","61.03888","0.00061","3.97522","0.01028"
"0.80000","0.01222","64.43485","0.00072","4.19638","0.01207"
"0.90000","0.01428","68.25320","0.00084","4.44506","0.01413"
"1.00000","0.01558","70.36841","0.00092","4.58281","0.01543"
"1.10000","0.01711","73.11975","0.00101","4.76199","0.01696"
"1.20000","0.01915","76.82413","0.00113","5.00325","0.01900"
"1.30000","0.02061","79.09107","0.00122","5.15088","0.02046"
"1.40000","0.02208","81.60484","0.00131","5.31459","0.02193"
"1.50000","0.02398","84.91607","0.00142","5.53024","0.02382"
"1.60000","0.02594","88.08546","0.00154","5.73665","0.02579"
"1.70000","0.02724","89.79388","0.00162","5.84791","0.02709"
"1.80000","0.02883","92.24450","0.00171","6.00751","0.02868"
"1.90000","0.03083","95.34582","0.00183","6.20949","0.03068"
"2.00000","0.03226","97.21380","0.00192","6.33114","0.03211"
"2.10000","0.03378","99.25037","0.00201","6.46378","0.03363"
"2.20000","0.03578","102.33118","0.00213","6.66442","0.03563"
"2.30000","0.03753","104.62908","0.00223","6.81407","0.03738"
"2.40000","0.03889","106.09137","0.00231","6.90930","0.03874"
"2.50000","0.04054","108.57410","0.00241","7.07099","0.04039"
"2.60000","0.04261","111.69209","0.00253","7.27406","0.04246"
"2.70000","0.04388","112.99772","0.00261","7.35909","0.04373"
"2.80000","0.04538","115.24924","0.00270","7.50572","0.04523"
"2.90000","0.04750","118.77734","0.00283","7.73549","0.04734"
"3.00000","0.04918","121.04731","0.00293","7.88332","0.04903"
"3.10000","0.05052","122.69582","0.00301","7.99068","0.05036"
"3.20000","0.05222","125.30241","0.00311","8.16044","0.05207"
"3.30000","0.05416","128.52704","0.00322","8.37045","0.05400"
"3.40000","0.05554","130.35051","0.00331","8.48920","0.05538"
"3.50000","0.05706","132.59833","0.00340","8.63559","0.05691"
"3.60000","0.05922","136.43439","0.00353","8.88542","0.05907"
"3.70000","0.06077","138.74239","0.00362","9.03573","0.06062"
"3.80000","0.06215","140.67392","0.00370","9.16153","0.06200"
"3.90000","0.06392","143.71605","0.00381","9.35965","0.06377"
"4.00000","0.06586","146.94922","0.00392","9.57021","0.06571"
"4.10000","0.06721","148.72783","0.00400","9.68604","0.06706"
"4.20000","0.06877","151.19934","0.00410","9.84700","0.06862"
"4.30000","0.07090","155.21838","0.00422","10.10875","0.07075"
"4.40000","0.07240","157.31030","0.00431","10.24499","0.07225"
"4.50000","0.07381","159.27980","0.00440","10.37325","0.07366"
"4.60000","0.07566","162.70229","0.00451","10.59614","0.07551"
"4.70000","0.07749","165.90863","0.00462","10.80496","0.07734"
"4.80000","0.07885","167.74660","0.00470","10.92466","0.07870"
"4.90000","0.08044","170.65587","0.00479","11.11413","0.08029"
"5.00000","0.08263","174.95821","0.00492","11.39432","0.08248"
"5.10000","0.08404","176.99794","0.00501","11.52716","0.08389"
"5.20000","0.08548","179.36848","0.00509","11.68155","0.08533"
"5.30000","0.08742","183.32634","0.00521","11.93931","0.08727"
"5.40000","0.08907","186.23976","0.00531","12.12905","0.08892"
"5.50000","0.09049","188.57463","0.00539","12.28111","0.09034"
"5.60000","0.09213","191.65178","0.00549","12.48151","0.09197"
"5.70000","0.09437","196.51163","0.00562","12.79801","0.09422"
"5.80000","0.09568","198.53932","0.00570","12.93007","0.09553"
"5.90000","0.09711","201.09499","0.00579","13.09651","0.09696"
"6.00000","0.09907","205.35248","0.00590","13.37378","0.09892"
"6.10000","0.10074","208.47479","0.00600","13.57712","0.10059"
"6.20000","0.10216","211.12671","0.00609","13.74983","0.10201"
"6.30000","0.10387","214.76183","0.00619","13.98657","0.10372"
"6.40000","0.10594","219.46786","0.00632","14.29306","0.10579"
"6.50000","0.10727","221.77005","0.00639","14.44299","0.10711"
"6.60000","0.10877","224.78555","0.00648","14.63938","0.10862"
"6.70000","0.11085","229.69241","0.00661","14.95894","0.11069"
"6.80000","0.11237","232.67078","0.00670","15.15291","0.11222"
"6.90000","0.11380","235.54193","0.00678","15.33990","0.11365"
"7.00000","0.11559","239.69241","0.00689","15.61020","0.11544"
"7.10000","0.11760","244.27898","0.00701","15.90891","0.11745"
"7.20000","0.11890","246.62909","0.00709","16.06196","0.11875"
"7.30000","0.12044","249.95909","0.00718","16.27883","0.12029"
"7.40000","0.12251","255.11041","0.00730","16.61431","0.12236"
"7.50000","0.12400","258.06537","0.00739","16.80676","0.12385"
"7.60000","0.12546","261.23550","0.00748","17.01322","0.12531"
"7.70000","0.12732","265.86826","0.00759","17.31493","0.12717"
"7.80000","0.12928","270.42068","0.00771","17.61141","0.12912"
"7.90000","0.13057","272.80591","0.00779","17.76675","0.13042"
"8.00000","0.13213","276.35355","0.00788","17.99779","0.13198"
"8.10000","0.13420","281.67273","0.00800","18.34421","0.13404"
"8.20000","0.13562","284.54291","0.00809","18.53113","0.13547"
"8.30000","0.13712","287.87503","0.00818","18.74814","0.13697"
"8.40000","0.13915","293.24615","0.00830","19.09794","0.13900"
"8.50000","0.14087","297.01712","0.00840","19.34353","0.14071"
"8.60000","0.14219","299.74689","0.00848","19.52131","0.14204"
"8.70000","0.14380","303.63138","0.00858","19.77429","0.14365"
"8.80000","0.14587","309.06604","0.00870","20.12823","0.14572"
"8.90000","0.14729","311.95212","0.00878","20.31618","0.14714"
"9.00000","0.14876","315.33432","0.00887","20.53645","0.14861"
"9.10000","0.15083","321.04361","0.00899","20.90828","0.15068"
"9.20000","0.15243","324.60147","0.00909","21.13999","0.15228"
"9.30000","0.15386","327.76801","0.00918","21.34621","0.15371"
"9.40000","0.15556","331.93564","0.00928","21.61763","0.15541"
"9.50000","0.15752","337.13696","0.00939","21.95637","0.15737"
"9.60000","0.15891","340.04529","0.00948","22.14578","0.15876"
"9.70000","0.16042","343.57095","0.00957","22.37539","0.16027"
"9.80000","0.16260","349.70859","0.00970","22.77511","0.16245"
"9.90000","0.16410","353.01620","0.00979","22.99052","0.16395"
"10.00000","0.16551","356.14789","0.00987","23.19448","0.16536"
"10.10000","0.16724","360.65247","0.00997","23.48784","0.16709"
"10.20000","0.16913","365.64523","0.01009","23.81300","0.16897"
"10.30000","0.17056","368.87985","0.01017","24.02366","0.17041"
"10.40000","0.17209","372.65295","0.01026","24.26939","0.17194"
"10.50000","0.17433","379.11407","0.01040","24.69017","0.17418"
"10.60000","0.17578","382.15854","0.01048","24.88845","0.17563"
"10.70000","0.17717","385.34235","0.01057","25.09579","0.17701"
"10.80000","0.17894","390.08884","0.01067","25.40491","0.17879"
"10.90000","0.18070","394.59680","0.01078","25.69850","0.18055"
"11.00000","0.18219","398.20111","0.01087","25.93323","0.18204"
"11.10000","0.18382","402.34180","0.01096","26.20290","0.18367"
"11.20000","0.18598","408.66873","0.01109","26.61495","0.18583"
"11.30000","0.18737","411.71570","0.01118","26.81339","0.18722"
"11.40000","0.18881","415.19580","0.01126","27.04003","0.18866"
"11.50000","0.19064","420.37607","0.01137","27.37740","0.19049"
"11.60000","0.19241","424.98712","0.01148","27.67770","0.19226"
"11.70000","0.19383","428.40421","0.01156","27.90024","0.19368"
"11.80000","0.19547","432.85605","0.01166","28.19017","0.19532"
"11.90000","0.19761","439.01321","0.01179","28.59116","0.19746"
"12.00000","0.19902","442.40042","0.01187","28.81176","0.19887"
"12.10000","0.20053","446.41626","0.01196","29.07329","0.20038"
"12.20000","0.20243","451.78564","0.01208","29.42298","0.20228"
"12.30000","0.20397","455.72220","0.01217","29.67935","0.20382"
"12.40000","0.20548","459.56140","0.01226","29.92938","0.20533"
"12.50000","0.20726","464.72940","0.01236","30.26595","0.20711"
"12.60000","0.20927","470.52139","0.01248","30.64316","0.20912"
"12.70000","0.21067","473.85193","0.01257","30.86007","0.21051"
"12.80000","0.21213","477.66226","0.01265","31.10822","0.21198"
"12.90000","0.21410","483.64600","0.01277","31.49792","0.21395"
"13.00000","0.21568","487.92990","0.01287","31.77691","0.21553"
"13.10000","0.21711","491.38394","0.01295","32.00186","0.21696"
"13.20000","0.21895","496.91995","0.01306","32.36240","0.21880"
"13.30000","0.22099","502.96039","0.01318","32.75578","0.22084"
"13.40000","0.22231","506.06802","0.01326","32.95817","0.22216"
"13.50000","0.22383","510.19724","0.01335","33.22709","0.22368"
"13.60000","0.22575","516.06085","0.01347","33.60896","0.22560"
"13.70000","0.22728","520.13300","0.01356","33.87416","0.22713"
"13.80000","0.22878","524.23901","0.01365","34.14157","0.22863"
"13.90000","0.23074","530.33972","0.01377","34.53889","0.23059"
"14.00000","0.23254","535.64252","0.01387","34.88424","0.23239"
"14.10000","0.23391","539.10474","0.01395","35.10972","0.23376"
"14.20000","0.23551","543.59399","0.01405","35.40209","0.23536"
"14.30000","0.23753","550.09460","0.01417","35.82545","0.23738"
"14.40000","0.23891","553.58771","0.01425","36.05294","0.23876"
"14.50000","0.24037","557.60553","0.01434","36.31460","0.24022"
"14.60000","0.24243","564.45294","0.01446","36.76055","0.24228"
"14.70000","0.24417","569.37610","0.01457","37.08117","0.24402"
"14.80000","0.24558","573.07733","0.01465","37.32222","0.24543"
"14.90000","0.24722","577.97601","0.01475","37.64125","0.24706"
"15.00000","0.24914","584.09613","0.01486","38.03983","0.24899"
"15.10000","0.25058","587.92389","0.01495","38.28912","0.25042"
"15.20000","0.25207","592.13928","0.01504","38.56364","0.25192"
"15.30000","0.25421","599.45093","0.01517","39.03983","0.25406"
"15.40000","0.25581","603.80487","0.01526","39.32338","0.25566"
"15.50000","0.25717","607.41199","0.01534","39.55830","0.25701"
"15.60000","0.25891","612.94354","0.01545","39.91854","0.25876"
"15.70000","0.26084","619.04041","0.01556","40.31561","0.26069"
"15.80000","0.26223","622.58307","0.01564","40.54633","0.26208"
"15.90000","0.26373","626.90253","0.01573","40.82764","0.26358"
"16.00000","0.26595","634.45477","0.01587","41.31948","0.26580"
