"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
19,-0.000413825,-0.00418127,10.0998,10.104,-4.47417e-05,-0.000278859,6.23236,6.23264,5.394,5.394,-0.3667,9.9811,-922.631,20.0102
20,-0.000420154,-0.00424522,10.0997,10.104,-0.000178335,-0.0011115,6.23152,6.23264,5.52,5.52,-0.3777,9.982,-950.1,20.0121
21,-0.000448919,-0.00453586,10.0994,10.104,-1.32768e-05,-8.27495e-05,6.23255,6.23264,5.649,5.649,-0.4012,9.9759,-1009.08,19.9999
22,-0.000410007,-0.00414269,10.0998,10.104,9.40361e-05,0.000586093,6.23322,6.23264,5.769,5.769,-0.4225,9.984,-1062.4,20.016
23,-0.000495414,-0.00500564,10.099,10.104,0.000102951,0.000641655,6.23328,6.23264,5.955,5.955,-0.4534,9.9804,-1139.96,20.0089
24,-0.000521689,-0.00527112,10.0987,10.104,-9.3371e-05,-0.000581947,6.23205,6.23264,6.08,6.08,-0.4737,9.9801,-1190.86,20.0083
25,-0.000567309,-0.00573207,10.0982,10.104,0.00020021,0.00124783,6.23388,6.23264,6.269,6.269,-0.5027,9.9788,-1263.57,20.0057
26,-0.000655914,-0.00662733,10.0973,10.104,4.49026e-05,0.000279861,6.23292,6.23264,6.459,6.46,-0.5401,9.9914,-1357.29,20.0309
27,-0.000656527,-0.00663352,10.0973,10.104,-8.59737e-05,-0.000535842,6.2321,6.23264,6.641,6.641,-0.5627,9.9769,-1413.84,20.0018
28,-0.00067701,-0.00684048,10.0971,10.104,-9.49247e-06,-5.91631e-05,6.23258,6.23264,6.83,6.83,-0.5952,9.9782,-1495.44,20.0044
29,-0.000763877,-0.00771818,10.0962,10.104,0.000225286,0.00140412,6.23404,6.23264,6.954,6.954,-0.6194,9.9756,-1556.03,19.9992
30,-0.000783511,-0.00791657,10.096,10.104,0.000189557,0.00118144,6.23382,6.23264,7.078,7.078,-0.6423,9.974,-1613.39,19.996
31,-0.000816353,-0.0082484,10.0957,10.104,0.000227852,0.00142012,6.23406,6.23264,7.203,7.203,-0.67,9.9756,-1682.87,19.9992
32,-0.000792756,-0.00800997,10.0959,10.104,0.000125253,0.000780656,6.23342,6.23264,7.33,7.33,-0.681,9.9775,-1710.34,20.0031
33,-0.000821882,-0.00830427,10.0957,10.104,0.000177344,0.00110532,6.23374,6.23264,7.452,7.453,-0.7051,9.983,-1770.94,20.0141
34,-0.000980199,-0.00990389,10.0941,10.104,0.000197574,0.00123141,6.23387,6.23264,7.641,7.641,-0.7238,9.9765,-1817.79,20.0012
35,-0.000825631,-0.00834214,10.0956,10.104,-8.20024e-06,-5.11091e-05,6.23258,6.23264,7.766,7.766,-0.7609,9.9743,-1910.7,19.9966
36,-0.000936132,-0.00945864,10.0945,10.104,0.000219825,0.00137009,6.23401,6.23264,7.89,7.89,-0.786,9.9782,-1973.72,20.0044
37,-0.000816763,-0.00825254,10.0957,10.104,7.02207e-05,0.00043766,6.23307,6.23264,8.08,8.08,-0.8221,9.9736,-2064.21,19.9953
38,-0.000874719,-0.00883813,10.0951,10.104,0.000168429,0.00104976,6.23369,6.23264,8.202,8.202,-0.8286,9.9798,-2080.37,20.0076
39,-0.000915904,-0.00925426,10.0947,10.104,0.000253498,0.00157996,6.23422,6.23264,8.326,8.326,-0.8453,9.9811,-2122.38,20.0102
40,-0.000844924,-0.00853708,10.0954,10.104,-4.36399e-06,-2.71991e-05,6.23261,6.23264,8.453,8.453,-0.8914,9.973,-2237.91,19.9941
41,-0.000884214,-0.00893406,10.095,10.104,5.71062e-05,0.000355922,6.23299,6.23264,8.576,8.576,-0.9272,9.9778,-2327.59,20.0037
42,-0.00100843,-0.0101891,10.0938,10.104,5.35185e-05,0.000333561,6.23297,6.23264,8.701,8.701,-0.9501,9.9791,-2384.95,20.0063
43,-0.00112349,-0.0113517,10.0926,10.104,0.000329473,0.00205349,6.23469,6.23264,8.827,8.827,-0.9597,9.974,-2409.18,19.996
44,-0.00109355,-0.0110492,10.0929,10.104,0.000191233,0.00119189,6.23383,6.23264,8.95,8.95,-1.0007,9.9749,-2511.79,19.9979
45,-0.00108501,-0.0109629,10.093,10.104,0.000303161,0.00188949,6.23452,6.23264,9.077,9.077,-1.0294,9.9769,-2583.69,20.0018
46,-0.00108653,-0.0109782,10.093,10.104,0.000215306,0.00134193,6.23398,6.23264,9.202,9.202,-1.0571,9.9801,-2653.17,20.0083
47,-0.00116686,-0.0117899,10.0922,10.104,0.000356039,0.00221906,6.23485,6.23264,9.325,9.325,-1.0696,9.9894,-2684.68,20.027
48,-0.00126195,-0.0127506,10.0912,10.104,0.000112765,0.000702821,6.23334,6.23264,9.45,9.45,-1.1144,9.9798,-2796.98,20.0076
49,-0.00122407,-0.0123679,10.0916,10.104,0.000214464,0.00133667,6.23397,6.23264,9.574,9.574,-1.1422,9.9846,-2866.46,20.0173
50,-0.0011678,-0.0117994,10.0922,10.104,8.90625e-05,0.000555094,6.23319,6.23264,9.705,9.705,-1.1731,9.9765,-2944.02,20.0012
51,-0.00123251,-0.0124532,10.0915,10.104,0.000182669,0.00113851,6.23377,6.23264,9.823,9.823,-1.1969,9.9791,-3003.81,20.0063
52,-0.00132281,-0.0133657,10.0906,10.104,0.000384303,0.00239522,6.23503,6.23264,10.011,10.011,-1.2285,9.9811,-3082.98,20.0102
53,-0.00128517,-0.0129853,10.091,10.104,0.000331939,0.00206885,6.2347,6.23264,10.2,10.2,-1.2827,9.9801,-3218.71,20.0083
54,-0.00129771,-0.013112,10.0908,10.104,0.000173392,0.00108069,6.23372,6.23264,10.325,10.325,-1.3081,9.9836,-3282.54,20.0154
55,-0.00131364,-0.0132729,10.0907,10.104,0.000369965,0.00230586,6.23494,6.23264,10.447,10.447,-1.3352,9.9807,-3350.4,20.0096
56,-0.00136279,-0.0137696,10.0902,10.104,0.000436387,0.00271984,6.23536,6.23264,10.574,10.574,-1.3623,9.9756,-3418.26,19.9992
57,-0.00140419,-0.0141879,10.0898,10.104,0.000236613,0.00147472,6.23411,6.23264,10.83,10.949,-1.418,9.9775,-3558.03,20.0031
58,-0.00153869,-0.0155469,10.0884,10.104,0.000382094,0.00238145,6.23502,6.23264,11.196,11.324,-1.525,9.9575,-3826.26,19.963
59,-0.00153717,-0.0155315,10.0884,10.104,0.000388327,0.0024203,6.23506,6.23264,11.573,11.695,-1.6059,9.9736,-4029.04,19.9953
60,-0.00153529,-0.0155125,10.0884,10.104,0.000305405,0.00190348,6.23454,6.23264,11.945,12.071,-1.6836,9.9685,-4223.75,19.985
61,-0.00173146,-0.0174946,10.0865,10.104,0.000347161,0.00216373,6.2348,6.23264,12.352,12.508,-1.7738,9.9646,-4449.97,19.9773
62,-0.00185019,-0.0186942,10.0853,10.104,0.000436502,0.00272056,6.23536,6.23264,12.757,12.884,-1.8531,9.9782,-4648.71,20.0044
63,-0.00185933,-0.0187866,10.0852,10.104,0.000298499,0.00186044,6.2345,6.23264,13.132,13.255,-1.925,9.9765,-4828.88,20.0012
64,-0.00197634,-0.0199688,10.084,10.104,0.000249633,0.00155587,6.23419,6.23264,13.509,13.63,-1.9988,9.9811,-5013.89,20.0102
65,-0.00199739,-0.0201815,10.0838,10.104,0.000478476,0.00298216,6.23562,6.23264,13.915,14.068,-2.0871,9.9772,-5235.26,20.0025
66,-0.00207122,-0.0209275,10.083,10.104,0.000363549,0.00226587,6.2349,6.23264,14.323,14.387,-2.1529,9.9827,-5400.07,20.0134
67,-0.00212162,-0.0214367,10.0825,10.104,0.000394633,0.0024596,6.2351,6.23264,14.633,14.754,-2.2199,9.982,-5568.11,20.0121
68,-0.00224623,-0.0226958,10.0813,10.104,0.00074514,0.00464419,6.23728,6.23264,15.029,15.192,-2.304,9.9849,-5778.98,20.018
69,-0.00223211,-0.0225531,10.0814,10.104,0.000405654,0.00252829,6.23516,6.23264,15.443,15.628,-2.3749,9.973,-5956.72,19.9941
70,-0.00233523,-0.0235951,10.0804,10.104,0.000558246,0.00347935,6.23611,6.23264,15.94,16.063,-2.4651,9.9743,-6182.94,19.9966
71,-0.0024611,-0.0248668,10.0791,10.104,0.000612057,0.00381473,6.23645,6.23264,16.314,16.438,-2.5186,9.9824,-6317.05,20.0128
72,-0.00249578,-0.0252172,10.0787,10.104,0.000498303,0.00310574,6.23574,6.23264,16.688,16.815,-2.5992,9.9743,-6519.03,19.9966
73,-0.00254155,-0.0256797,10.0783,10.104,0.00053886,0.00335851,6.23599,6.23264,17.064,17.188,-2.664,9.9775,-6681.42,20.0031
74,-0.00264429,-0.0267178,10.0772,10.104,0.00052666,0.00328248,6.23592,6.23264,17.462,17.624,-2.7501,9.9785,-6897.13,20.005
75,-0.00270844,-0.027366,10.0766,10.104,0.000560007,0.00349032,6.23613,6.23264,17.885,18.061,-2.8303,9.9856,-7098.3,20.0193
76,-0.00278691,-0.0281589,10.0758,10.104,0.000424515,0.00264585,6.23528,6.23264,18.326,18.498,-2.8951,9.9782,-7260.69,20.0044
77,-0.00287696,-0.0290687,10.0749,10.104,0.000740038,0.00461239,6.23725,6.23264,18.751,18.935,-2.9692,9.9853,-7446.51,20.0186
78,-0.00290539,-0.0293559,10.0746,10.104,0.00066992,0.00417537,6.23681,6.23264,19.209,19.438,-3.0604,9.9775,-7675.15,20.0031
79,-0.00293299,-0.0296348,10.0743,10.104,0.00063039,0.00392899,6.23656,6.23264,19.685,19.808,-3.1071,9.9788,-7792.3,20.0057
80,-0.00303254,-0.0306407,10.0733,10.104,0.000686547,0.004279,6.23691,6.23264,20.121,20.249,-3.179,9.9733,-7972.46,19.9947
81,-0.00317705,-0.0321008,10.0719,10.104,0.000839051,0.0052295,6.23786,6.23264,20.494,20.619,-3.2535,9.9765,-8159.09,20.0012
82,-0.00306746,-0.0309935,10.073,10.104,0.000666226,0.00415234,6.23679,6.23264,20.87,21.118,-3.3305,9.9788,-8352.18,20.0057
83,-0.00310345,-0.0313572,10.0726,10.104,0.000646595,0.00402999,6.23667,6.23264,21.368,21.493,-3.3833,9.9724,-8484.68,19.9928
84,-0.00338072,-0.0341587,10.0698,10.104,0.000767029,0.00478061,6.23742,6.23264,21.806,21.811,-3.4375,9.9775,-8620.41,20.0031
85,-0.0033903,-0.0342555,10.0697,10.104,0.00068389,0.00426244,6.2369,6.23264,21.928,21.929,-3.4543,9.9827,-8662.42,20.0134
86,-0.00328977,-0.0332397,10.0707,10.104,0.000692396,0.00431545,6.23695,6.23264,22.054,22.055,-3.461,9.9833,-8679.39,20.0147
87,-0.00336944,-0.0340446,10.0699,10.104,0.000769962,0.00479889,6.23743,6.23264,22.178,22.179,-3.4874,9.974,-8745.64,19.996
88,-0.00339474,-0.0343003,10.0697,10.104,0.000670531,0.00417918,6.23681,6.23264,22.304,22.304,-3.5194,9.9804,-8825.62,20.0089
89,-0.00334491,-0.0337968,10.0702,10.104,0.000746303,0.00465144,6.23729,6.23264,22.492,22.493,-3.5335,9.9824,-8861.17,20.0128
90,-0.00339441,-0.0342969,10.0697,10.104,0.000692644,0.004317,6.23695,6.23264,22.616,22.616,-3.5506,9.9791,-8903.99,20.0063
91,-0.00342535,-0.0346096,10.0694,10.104,0.000910082,0.00567221,6.23831,6.23264,22.74,22.741,-3.5738,9.9769,-8962.16,20.0018
92,-0.00348352,-0.0351973,10.0688,10.104,0.000697605,0.00434792,6.23698,6.23264,22.866,22.866,-3.5957,9.9753,-9017.09,19.9986
93,-0.00343796,-0.034737,10.0692,10.104,0.000726159,0.00452588,6.23716,6.23264,23.055,23.055,-3.6235,9.9856,-9086.58,20.0193
94,-0.00345685,-0.0349279,10.069,10.104,0.000658086,0.00410161,6.23674,6.23264,23.18,23.18,-3.6309,9.982,-9105.16,20.0121
95,-0.00349651,-0.0353286,10.0686,10.104,0.00066451,0.00414165,6.23678,6.23264,23.303,23.303,-3.6476,9.9778,-9147.17,20.0037
96,-0.00345629,-0.0349223,10.069,10.104,0.000623387,0.00388534,6.23652,6.23264,23.426,23.427,-3.6753,9.9772,-9216.65,20.0025
97,-0.0035024,-0.0353881,10.0686,10.104,0.000557768,0.00347637,6.23611,6.23264,23.614,23.614,-3.7043,9.9795,-9289.36,20.007
98,-0.00352906,-0.0356574,10.0683,10.104,0.000874944,0.00545321,6.23809,6.23264,23.802,23.802,-3.723,9.9724,-9336.22,19.9928
99,-0.00351416,-0.0355069,10.0685,10.104,0.000832706,0.00518995,6.23783,6.23264,23.928,23.928,-3.7543,9.9775,-9414.59,20.0031
100,-0.00359161,-0.0362895,10.0677,10.104,0.000720063,0.00448789,6.23712,6.23264,24.114,24.114,-3.7898,9.9814,-9503.46,20.0109
101,-0.00365189,-0.0368986,10.0671,10.104,0.00072701,0.00453119,6.23717,6.23264,24.237,24.238,-3.7823,9.9775,-9484.88,20.0031
102,-0.00369719,-0.0373563,10.0666,10.104,0.000646332,0.00402835,6.23666,6.23264,24.362,24.363,-3.7978,9.9795,-9523.66,20.007
103,-0.00367899,-0.0371724,10.0668,10.104,0.000711912,0.00443709,6.23707,6.23264,24.49,24.49,-3.8365,9.9698,-9620.61,19.9876
104,-0.00358958,-0.036269,10.0677,10.104,0.000878916,0.00547796,6.23811,6.23264,24.677,24.677,-3.8439,9.9714,-9639.19,19.9908
105,-0.00360047,-0.036379,10.0676,10.104,0.000890732,0.00555161,6.23819,6.23264,24.8,24.8,-3.8684,9.9775,-9700.59,20.0031
106,-0.00362963,-0.0366736,10.0673,10.104,0.000705,0.00439401,6.23703,6.23264,24.924,24.924,-3.8839,9.9869,-9739.37,20.0218
107,-0.00372289,-0.0376159,10.0663,10.104,0.000788849,0.00491661,6.23755,6.23264,25.051,25.051,-3.9029,9.9788,-9787.04,20.0057
108,-0.00381864,-0.0385834,10.0654,10.104,0.000871126,0.00542941,6.23806,6.23264,25.175,25.176,-3.9209,9.9733,-9832.28,19.9947
109,-0.003774,-0.0381324,10.0658,10.104,0.00111836,0.00697034,6.23961,6.23264,25.362,25.362,-3.9496,9.9798,-9904.19,20.0076
110,-0.0038512,-0.0389124,10.065,10.104,0.000870752,0.00542708,6.23806,6.23264,25.55,25.55,-3.9764,9.9749,-9971.24,19.9979
111,-0.00376082,-0.0379992,10.066,10.104,0.000974985,0.00607673,6.23871,6.23264,25.675,25.675,-3.9909,9.9801,-10007.6,20.0083
112,-0.00382484,-0.0386461,10.0653,10.104,0.000936917,0.00583946,6.23847,6.23264,25.799,25.799,-4.0157,9.9788,-10069.8,20.0057
113,-0.00391102,-0.0395168,10.0644,10.104,0.000922584,0.00575013,6.23839,6.23264,25.926,25.926,-4.0373,10.0007,-10123.9,20.0496
114,-0.00393057,-0.0397143,10.0642,10.104,0.000909269,0.00566714,6.2383,6.23264,26.111,26.111,-4.0585,9.9756,-10177.3,19.9992
115,-0.0039438,-0.039848,10.0641,10.104,0.000921995,0.00574646,6.23838,6.23264,26.235,26.235,-4.0692,9.9743,-10203.9,19.9966
116,-0.00388595,-0.0392635,10.0647,10.104,0.000758905,0.00472998,6.23737,6.23264,26.359,26.36,-4.0872,9.9746,-10249.2,19.9973
117,-0.00393242,-0.039733,10.0642,10.104,0.000981824,0.00611935,6.23875,6.23264,26.61,26.61,-4.1327,9.974,-10363.1,19.996
118,-0.00389945,-0.0393999,10.0646,10.104,0.000777152,0.0048437,6.23748,6.23264,26.797,26.798,-4.1572,9.9759,-10424.5,19.9999
119,-0.00392868,-0.0396952,10.0643,10.104,0.000765041,0.00476822,6.2374,6.23264,26.985,26.985,-4.1826,9.9756,-10488.3,19.9992
120,-0.00397311,-0.0401441,10.0638,10.104,0.00076426,0.00476335,6.2374,6.23264,27.171,27.171,-4.2161,9.9746,-10572.3,19.9973
121,-0.00402863,-0.0407051,10.0633,10.104,0.00106993,0.0066685,6.2393,6.23264,27.297,27.297,-4.221,9.9762,-10584.5,20.0005
122,-0.00401726,-0.0405903,10.0634,10.104,0.000806355,0.00502572,6.23766,6.23264,27.42,27.42,-4.2651,9.9785,-10695.1,20.005
123,-0.0040236,-0.0406543,10.0633,10.104,0.000798115,0.00497436,6.23761,6.23264,27.549,27.55,-4.2568,9.9765,-10674.1,20.0012
124,-0.00411396,-0.0415673,10.0624,10.104,0.000846874,0.00527826,6.23791,6.23264,27.669,27.67,-4.2729,9.9795,-10714.5,20.007
125,-0.00405614,-0.0409831,10.063,10.104,0.000911568,0.00568147,6.23832,6.23264,27.797,27.797,-4.2941,9.9811,-10767.8,20.0102
126,-0.00406638,-0.0410866,10.0629,10.104,0.000946115,0.00589679,6.23853,6.23264,27.919,27.92,-4.3138,9.9811,-10817.1,20.0102
127,-0.00405675,-0.0409892,10.063,10.104,0.000885867,0.00552128,6.23816,6.23264,28.044,28.044,-4.3315,9.9788,-10861.6,20.0057
128,-0.0041344,-0.0417738,10.0622,10.104,0.000947658,0.0059064,6.23854,6.23264,28.168,28.169,-4.358,9.9727,-10927.8,19.9934
129,-0.00413304,-0.0417601,10.0622,10.104,0.00129968,0.00810046,6.24074,6.23264,28.359,28.359,-4.3715,9.9807,-10961.7,20.0096
130,-0.00413394,-0.0417691,10.0622,10.104,0.00103009,0.00642017,6.23906,6.23264,28.481,28.481,-4.3963,9.9746,-11024,19.9973
131,-0.00415544,-0.0419864,10.062,10.104,0.000917712,0.00571977,6.23836,6.23264,28.67,28.67,-4.4298,9.9801,-11108,20.0083
132,-0.0041835,-0.0422699,10.0617,10.104,0.000931274,0.00580429,6.23844,6.23264,28.856,28.856,-4.4488,9.9791,-11155.6,20.0063
133,-0.00426092,-0.0430521,10.0609,10.104,0.000895976,0.00558429,6.23822,6.23264,29.044,29.044,-4.4749,9.9743,-11221.1,19.9966
134,-0.00427577,-0.0432022,10.0608,10.104,0.000973107,0.00606502,6.2387,6.23264,29.171,29.171,-4.5023,9.9714,-11289.8,19.9908
135,-0.00427806,-0.0432254,10.0607,10.104,0.000888288,0.00553637,6.23817,6.23264,29.292,29.292,-4.512,9.9817,-11314,20.0115
136,-0.00429393,-0.0433857,10.0606,10.104,0.000905512,0.00564373,6.23828,6.23264,29.417,29.417,-4.5317,10.0007,-11363.3,20.0496
137,-0.00427384,-0.0431827,10.0608,10.104,0.000861297,0.00536815,6.238,6.23264,29.544,29.544,-4.5352,9.9807,-11372.2,20.0096
138,-0.00426883,-0.0431321,10.0608,10.104,0.000902086,0.00562237,6.23826,6.23264,29.669,29.669,-4.5623,9.9791,-11440,20.0063
139,-0.00430291,-0.0434764,10.0605,10.104,0.00105363,0.00656686,6.2392,6.23264,29.792,29.792,-4.5771,9.9801,-11477.2,20.0083
140,-0.00431906,-0.0436396,10.0603,10.104,0.00106608,0.00664451,6.23928,6.23264,29.981,29.982,-4.6142,9.9807,-11570.1,20.0096
141,-0.00435004,-0.0439526,10.06,10.104,0.00103435,0.00644671,6.23908,6.23264,30.104,30.104,-4.6213,9.9753,-11587.9,19.9986
142,-0.00443732,-0.0448345,10.0591,10.104,0.00120643,0.00751925,6.24015,6.23264,30.228,30.228,-4.6068,9.9736,-11551.5,19.9953
143,-0.00363751,-0.0367533,10.0672,10.104,0.000153473,0.00095654,6.23359,6.23264,30.353,30.353,-3.9093,9.9849,-9803.2,20.018
144,-0.00451651,-0.0456347,10.0583,10.104,-0.00115483,-0.00719764,6.22544,6.23264,30.48,30.48,-2.9508,9.9746,-7400.46,19.9973
145,-0.0045281,-0.0457518,10.0582,10.104,-0.00134376,-0.00837514,6.22426,6.23264,30.603,30.603,-2.499,9.9717,-6267.77,19.9915
146,-0.00455346,-0.046008,10.058,10.104,-0.0014115,-0.00879735,6.22384,6.23264,30.727,30.727,-2.2589,9.9791,-5665.87,20.0063
147,-0.00453226,-0.0457938,10.0582,10.104,-0.00152513,-0.00950556,6.22313,6.23264,30.853,30.853,-2.1467,9.9769,-5384.72,20.0018
