"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,0,0,10.104,10.104,0,0,6.23264,6.23264,0,0.004,-0.0187,9.9811,-50.0893,20.0102
1,-4.56986e-05,-0.000461737,10.1035,10.104,-0.000174781,-0.00108935,6.23155,6.23264,1.402,1.402,-0.0235,9.9775,-62.208,20.0031
2,-5.4527e-05,-0.000550939,10.1034,10.104,-0.000123143,-0.000767505,6.23187,6.23264,1.651,1.651,-0.019,9.9778,-50.8972,20.0037
3,-9.79106e-05,-0.000989285,10.103,10.104,-4.62571e-05,-0.000288304,6.23235,6.23264,2.962,2.962,-0.0354,9.9804,-92.1006,20.0089
4,-0.000171783,-0.00173568,10.1022,10.104,-0.000108183,-0.000674264,6.23196,6.23264,3.088,3.088,-0.0451,9.9762,-116.338,20.0005
5,-0.000153066,-0.00154657,10.1024,10.104,-5.28338e-05,-0.000329294,6.23231,6.23264,3.217,3.217,-0.0564,9.9778,-144.615,20.0037
6,-0.000140551,-0.00142012,10.1025,10.104,1.03897e-05,6.47554e-05,6.2327,6.23264,3.398,3.398,-0.0802,9.9782,-204.4,20.0044
7,-0.000206186,-0.00208329,10.1019,10.104,-7.65698e-05,-0.000477232,6.23216,6.23264,3.524,3.524,-0.096,9.9785,-243.988,20.005
8,-0.000185275,-0.00187201,10.1021,10.104,0.000144543,0.000900886,6.23354,6.23264,3.646,3.646,-0.1163,9.9865,-294.886,20.0212
9,-0.000159323,-0.00160979,10.1024,10.104,-2.55423e-05,-0.000159196,6.23248,6.23264,3.833,3.833,-0.1389,9.9775,-351.439,20.0031
10,-0.000174926,-0.00176744,10.1022,10.104,0.000105412,0.000656993,6.23329,6.23264,4.028,4.028,-0.165,9.9765,-416.88,20.0012
11,-0.000205309,-0.00207444,10.1019,10.104,-7.30255e-05,-0.000455142,6.23218,6.23264,4.21,4.21,-0.1824,9.9749,-460.507,19.9979
12,-0.000266207,-0.00268975,10.1013,10.104,-0.000138774,-0.000864929,6.23177,6.23264,4.397,4.397,-0.2085,9.9859,-525.948,20.0199
13,-0.000298568,-0.00301672,10.1009,10.104,-2.47628e-05,-0.000154337,6.23248,6.23264,4.52,4.52,-0.2278,9.9691,-574.422,19.9863
14,-0.000269807,-0.00272612,10.1012,10.104,-6.05177e-05,-0.000377185,6.23226,6.23264,4.645,4.645,-0.2449,9.9733,-617.242,19.9947
15,-0.000315926,-0.0031921,10.1008,10.104,-7.05216e-06,-4.39535e-05,6.23259,6.23264,4.894,4.894,-0.2826,9.974,-711.767,19.996
16,-0.000319531,-0.00322853,10.1007,10.104,9.67338e-05,0.000602907,6.23324,6.23264,5.019,5.019,-0.3065,9.9778,-771.552,20.0037
17,-0.000370574,-0.00374427,10.1002,10.104,4.95459e-05,0.000308801,6.23294,6.23264,5.144,5.144,-0.3152,9.9791,-793.366,20.0063
18,-0.000416629,-0.0042096,10.0997,10.104,7.29069e-06,4.54402e-05,6.23268,6.23264,5.271,5.271,-0.3293,9.9769,-828.914,20.0018
