"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,0,0,8.60677,8.60677,0,0,4.89741,4.89741,0,0.004,-0.0177,9.9749,-47.6656,19.9979
1,-2.61107e-05,-0.000224729,8.60655,8.60677,-9.93327e-05,-0.000486473,4.89692,4.89741,2.355,2.355,-0.0309,9.9733,-80.7899,19.9947
2,-8.93511e-06,-7.69025e-05,8.6067,8.60677,7.54851e-05,0.000369681,4.89778,4.89741,2.481,2.482,-0.039,9.9711,-100.988,19.9902
3,-3.98347e-05,-0.000342848,8.60643,8.60677,0.000220054,0.0010777,4.89849,4.89741,2.676,2.676,-0.0593,9.9785,-151.886,20.005
4,-5.58778e-05,-0.000480927,8.60629,8.60677,0.000273343,0.00133867,4.89875,4.89741,2.794,2.795,-0.0689,9.9811,-176.123,20.0102
5,-0.000106231,-0.000914302,8.60586,8.60677,0.000310509,0.00152069,4.89893,4.89741,2.917,2.918,-0.0809,9.9785,-206.016,20.005
6,-9.49393e-05,-0.000817121,8.60596,8.60677,9.88909e-05,0.000484309,4.89789,4.89741,3.105,3.106,-0.0902,9.9753,-229.445,19.9986
7,-0.000105215,-0.000905561,8.60587,8.60677,0.000179243,0.000877824,4.89829,4.89741,3.231,3.231,-0.0983,9.9727,-249.643,19.9934
8,-9.103e-05,-0.000783474,8.60599,8.60677,1.82423e-05,8.93398e-05,4.8975,4.89741,3.666,3.666,-0.1221,9.9859,-309.428,20.0199
9,-0.000242061,-0.00208337,8.60469,8.60677,0.000140876,0.000689928,4.8981,4.89741,3.98,3.98,-0.1331,9.9804,-336.897,20.0089
10,-0.000114861,-0.000988583,8.60578,8.60677,0.000166677,0.000816285,4.89823,4.89741,4.103,4.103,-0.1466,9.9817,-370.829,20.0115
11,-0.000142568,-0.00122705,8.60555,8.60677,6.7008e-05,0.000328166,4.89774,4.89741,4.229,4.229,-0.1579,9.9798,-399.106,20.0076
12,-0.000144036,-0.00123969,8.60553,8.60677,0.000122328,0.000599091,4.89801,4.89741,4.477,4.478,-0.1779,9.9759,-449.197,19.9999
13,-0.000191507,-0.00164826,8.60513,8.60677,0.000131868,0.000645813,4.89806,4.89741,4.602,4.603,-0.1921,9.9801,-484.745,20.0083
14,-0.000207859,-0.001789,8.60498,8.60677,0.000133962,0.000656067,4.89807,4.89741,4.791,4.792,-0.2066,9.974,-521.1,19.996
15,-0.000243447,-0.00209529,8.60468,8.60677,0.000185965,0.000910745,4.89832,4.89741,4.914,4.914,-0.2185,9.9727,-550.993,19.9934
16,-0.000246978,-0.00212568,8.60465,8.60677,0.000251064,0.00122957,4.89864,4.89741,5.041,5.042,-0.2381,9.9785,-600.276,20.005
17,-0.000229948,-0.00197911,8.60479,8.60677,0.000132304,0.000647946,4.89806,4.89741,5.164,5.164,-0.242,9.9775,-609.97,20.0031
18,-0.000242265,-0.00208512,8.60469,8.60677,0.00033118,0.00162192,4.89903,4.89741,5.289,5.289,-0.2591,9.9769,-652.79,20.0018
19,-0.00025613,-0.00220445,8.60457,8.60677,0.000289825,0.00141939,4.89883,4.89741,5.414,5.414,-0.27,9.9856,-680.258,20.0193
20,-0.000262661,-0.00226067,8.60451,8.60677,0.000249428,0.00122155,4.89863,4.89741,5.54,5.541,-0.2878,9.9749,-724.693,19.9979
21,-0.000286509,-0.00246592,8.60431,8.60677,0.00021537,0.00105476,4.89847,4.89741,5.665,5.665,-0.3058,9.9795,-769.936,20.007
22,-0.000331698,-0.00285485,8.60392,8.60677,0.000144884,0.000709555,4.89812,4.89741,5.85,5.85,-0.3219,9.9756,-810.332,19.9992
23,-0.000340664,-0.00293202,8.60384,8.60677,-2.9628e-05,-0.0001451,4.89727,4.89741,5.975,5.976,-0.3387,9.9772,-852.343,20.0025
24,-0.000425221,-0.00365978,8.60311,8.60677,0.000427452,0.00209341,4.8995,4.89741,6.1,6.1,-0.3606,9.9788,-907.281,20.0057
25,-0.00041683,-0.00358756,8.60319,8.60677,0.000295024,0.00144485,4.89886,4.89741,6.287,6.287,-0.3661,9.9795,-921.016,20.007
26,-0.000392127,-0.00337495,8.6034,8.60677,0.000180498,0.000883974,4.89829,4.89741,6.413,6.413,-0.3919,9.9878,-985.648,20.0238
27,-0.00043812,-0.0037708,8.603,8.60677,0.000220102,0.00107793,4.89849,4.89741,6.537,6.537,-0.4028,9.9827,-1013.12,20.0134
28,-0.000440321,-0.00378975,8.60298,8.60677,0.000341219,0.00167109,4.89908,4.89741,6.661,6.662,-0.4209,9.9756,-1058.36,19.9992
29,-0.000467036,-0.00401968,8.60275,8.60677,0.00036642,0.00179451,4.8992,4.89741,6.785,6.786,-0.4318,9.9772,-1085.83,20.0025
30,-0.00047031,-0.00404785,8.60273,8.60677,7.22755e-05,0.000353963,4.89776,4.89741,6.91,6.91,-0.4592,9.973,-1154.5,19.9941
31,-0.000414469,-0.00356724,8.60321,8.60677,0.000316166,0.00154839,4.89896,4.89741,7.098,7.098,-0.4805,9.9801,-1207.82,20.0083
32,-0.000480409,-0.00413477,8.60264,8.60677,0.000212533,0.00104086,4.89845,4.89741,7.287,7.287,-0.5079,9.9788,-1276.5,20.0057
33,-0.000495295,-0.00426289,8.60251,8.60677,7.01333e-05,0.000343472,4.89775,4.89741,7.41,7.41,-0.5208,9.9882,-1308.81,20.0244
34,-0.000539734,-0.00464537,8.60213,8.60677,0.000352945,0.00172852,4.89914,4.89741,7.598,7.599,-0.5321,9.9778,-1337.09,20.0037
35,-0.000514205,-0.00442564,8.60235,8.60677,0.000331029,0.00162118,4.89903,4.89741,7.724,7.724,-0.555,9.9749,-1394.45,19.9979
36,-0.000558336,-0.00480547,8.60197,8.60677,0.000323678,0.00158518,4.899,4.89741,7.911,7.911,-0.5743,9.9782,-1442.92,20.0044
37,-0.000597411,-0.00514178,8.60163,8.60677,0.000452485,0.00221601,4.89963,4.89741,8.099,8.099,-0.6043,9.9727,-1518.06,19.9934
38,-0.000655944,-0.00564556,8.60113,8.60677,0.000325201,0.00159264,4.899,4.89741,8.221,8.222,-0.6249,9.9753,-1569.77,19.9986
39,-0.00068181,-0.00586818,8.60091,8.60677,0.000290048,0.00142049,4.89883,4.89741,8.41,8.41,-0.6549,9.9772,-1644.9,20.0025
40,-0.00069986,-0.00602353,8.60075,8.60677,0.000327541,0.0016041,4.89901,4.89741,8.533,8.534,-0.6642,9.9795,-1668.33,20.007
41,-0.00069484,-0.00598033,8.60079,8.60677,0.000402774,0.00197255,4.89938,4.89741,8.659,8.659,-0.6897,9.9836,-1732.16,20.0154
42,-0.000695512,-0.00598612,8.60079,8.60677,0.000311985,0.00152792,4.89894,4.89741,8.848,8.848,-0.7138,9.9785,-1792.75,20.005
43,-0.000688436,-0.00592521,8.60085,8.60677,0.000327767,0.00160521,4.89902,4.89741,8.97,8.97,-0.7303,9.974,-1833.95,19.996
44,-0.000687308,-0.0059155,8.60086,8.60677,0.000349587,0.00171207,4.89912,4.89741,9.094,9.095,-0.7419,9.973,-1863.04,19.9941
45,-0.000727919,-0.00626504,8.60051,8.60677,0.000338783,0.00165916,4.89907,4.89741,9.22,9.22,-0.7696,9.9724,-1932.52,19.9928
46,-0.000677187,-0.0058284,8.60094,8.60677,0.000369924,0.00181167,4.89922,4.89741,9.409,9.41,-0.7999,9.9791,-2008.46,20.0063
47,-0.000877229,-0.00755011,8.59922,8.60677,0.000337872,0.0016547,4.89907,4.89741,9.531,9.532,-0.826,9.9804,-2073.9,20.0089
48,-0.000834967,-0.00718637,8.59959,8.60677,0.000317931,0.00155704,4.89897,4.89741,9.721,9.721,-0.8537,9.9727,-2143.38,19.9934
49,-0.000830608,-0.00714885,8.59962,8.60677,0.000385239,0.00188667,4.8993,4.89741,9.843,9.844,-0.866,9.9807,-2174.08,20.0096
50,-0.000815368,-0.00701769,8.59976,8.60677,0.000434774,0.00212927,4.89954,4.89741,9.973,9.973,-0.9008,9.9807,-2261.34,20.0096
51,-0.000841412,-0.00724184,8.59953,8.60677,0.000363063,0.00177807,4.89919,4.89741,10.092,10.093,-0.9143,9.9769,-2295.27,20.0018
52,-0.000844508,-0.00726849,8.5995,8.60677,0.00032564,0.0015948,4.899,4.89741,10.281,10.282,-0.9391,9.9743,-2357.48,19.9966
53,-0.000832157,-0.00716218,8.59961,8.60677,0.000422103,0.00206721,4.89948,4.89741,10.47,10.47,-0.9781,9.983,-2455.24,20.0141
54,-0.000947609,-0.00815586,8.59862,8.60677,0.000542922,0.00265891,4.90007,4.89741,10.592,10.593,-1.001,9.9765,-2512.6,20.0012
55,-0.000912706,-0.00785545,8.59892,8.60677,0.000671554,0.00328888,4.9007,4.89741,10.783,10.783,-1.0368,9.9753,-2602.28,19.9986
56,-0.000988909,-0.00851132,8.59826,8.60677,0.000529563,0.00259349,4.9,4.89741,10.967,10.967,-1.0655,9.9811,-2674.18,20.0102
57,-0.000977814,-0.00841582,8.59836,8.60677,0.000367252,0.00179858,4.89921,4.89741,11.155,11.155,-1.1006,9.9836,-2762.24,20.0154
58,-0.00101226,-0.00871233,8.59806,8.60677,0.000446163,0.00218504,4.8996,4.89741,11.281,11.281,-1.1106,9.9807,-2787.29,20.0096
59,-0.000992715,-0.00854407,8.59823,8.60677,0.000444343,0.00217613,4.89959,4.89741,11.404,11.405,-1.1296,9.9772,-2834.95,20.0025
60,-0.00102181,-0.00879451,8.59798,8.60677,0.000508768,0.00249165,4.8999,4.89741,11.53,11.531,-1.166,9.9785,-2926.25,20.005
61,-0.0010444,-0.00898889,8.59778,8.60677,0.00048763,0.00238812,4.8998,4.89741,11.653,11.654,-1.186,9.9795,-2976.34,20.007
62,-0.00117099,-0.0100785,8.59669,8.60677,0.000399047,0.0019543,4.89936,4.89741,11.841,11.841,-1.2247,9.9801,-3073.29,20.0083
63,-0.00114295,-0.00983707,8.59694,8.60677,0.000447585,0.00219201,4.8996,4.89741,11.965,11.965,-1.2466,9.9824,-3128.22,20.0128
64,-0.00116857,-0.0100576,8.59672,8.60677,0.000577701,0.00282924,4.90024,4.89741,12.089,12.089,-1.2727,9.9804,-3193.67,20.0089
65,-0.00119865,-0.0103165,8.59646,8.60677,0.000590265,0.00289077,4.9003,4.89741,12.215,12.215,-1.2811,9.9814,-3214.67,20.0109
66,-0.00115017,-0.00989924,8.59687,8.60677,0.00063818,0.00312543,4.90054,4.89741,12.341,12.341,-1.3027,9.9788,-3268.8,20.0057
67,-0.0011401,-0.00981258,8.59696,8.60677,0.000472229,0.0023127,4.89972,4.89741,12.465,12.465,-1.3375,9.9769,-3356.06,20.0018
68,-0.00112616,-0.00969259,8.59708,8.60677,0.000495677,0.00242753,4.89984,4.89741,12.588,12.588,-1.3636,9.9698,-3421.5,19.9876
69,-0.00118424,-0.0101925,8.59658,8.60677,0.000655741,0.00321143,4.90062,4.89741,12.714,12.715,-1.389,9.9724,-3485.32,19.9928
70,-0.00111421,-0.00958975,8.59718,8.60677,0.000561883,0.00275177,4.90016,4.89741,12.842,12.842,-1.409,9.9775,-3535.41,20.0031
71,-0.00111901,-0.0096311,8.59714,8.60677,0.000526264,0.00257733,4.89999,4.89741,12.964,12.964,-1.44,9.9827,-3612.97,20.0134
72,-0.00114476,-0.00985273,8.59692,8.60677,0.000600708,0.00294191,4.90035,4.89741,13.09,13.09,-1.4632,9.9685,-3671.14,19.985
73,-0.00124763,-0.0107381,8.59604,8.60677,0.000539882,0.00264402,4.90005,4.89741,13.219,13.219,-1.5012,9.9753,-3766.47,19.9986
74,-0.00126895,-0.0109216,8.59585,8.60677,0.000483716,0.00236896,4.89978,4.89741,13.34,13.34,-1.5031,9.974,-3771.32,19.996
75,-0.00132427,-0.0113977,8.59538,8.60677,0.000665554,0.00325949,4.90067,4.89741,13.464,13.465,-1.5231,9.9795,-3821.41,20.007
76,-0.00133532,-0.0114928,8.59528,8.60677,0.000439277,0.00215132,4.89956,4.89741,13.59,13.59,-1.5576,9.9824,-3907.86,20.0128
77,-0.00139796,-0.0120319,8.59474,8.60677,0.000610942,0.00299203,4.9004,4.89741,13.714,13.714,-1.5814,9.9827,-3967.64,20.0134
78,-0.00133369,-0.0114788,8.59529,8.60677,0.000717878,0.00351574,4.90093,4.89741,13.837,13.837,-1.6037,9.9753,-4023.39,19.9986
79,-0.00128268,-0.0110397,8.59573,8.60677,0.000613339,0.00300377,4.90041,4.89741,13.964,13.964,-1.6259,9.9733,-4079.14,19.9947
80,-0.00139654,-0.0120197,8.59475,8.60677,0.000570895,0.00279591,4.90021,4.89741,14.151,14.151,-1.6569,9.9827,-4156.69,20.0134
81,-0.00152423,-0.0131187,8.59365,8.60677,0.00073969,0.00362257,4.90103,4.89741,14.276,14.276,-1.6836,9.9811,-4223.75,20.0102
82,-0.00150953,-0.0129922,8.59378,8.60677,0.000555369,0.00271987,4.90013,4.89741,14.463,14.463,-1.7216,9.9724,-4319.08,19.9928
83,-0.0015397,-0.0132518,8.59352,8.60677,0.000651205,0.00318922,4.9006,4.89741,14.587,14.588,-1.7448,9.9743,-4377.25,19.9966
84,-0.00150152,-0.0129233,8.59385,8.60677,0.000731301,0.00358148,4.90099,4.89741,14.714,14.714,-1.7632,9.9756,-4423.3,19.9992
85,-0.00142666,-0.012279,8.59449,8.60677,0.0008043,0.00393899,4.90135,4.89741,14.841,14.841,-1.79,9.9782,-4490.36,20.0044
86,-0.00146146,-0.0125784,8.59419,8.60677,0.000574335,0.00281275,4.90022,4.89741,14.961,14.961,-1.8161,9.9782,-4555.8,20.0044
87,-0.00147765,-0.0127178,8.59406,8.60677,0.000669485,0.00327874,4.90069,4.89741,15.15,15.15,-1.8283,9.9759,-4586.5,19.9999
88,-0.00154332,-0.013283,8.59349,8.60677,0.000627763,0.00307441,4.90048,4.89741,15.272,15.272,-1.8747,9.9807,-4702.84,20.0096
89,-0.00160403,-0.0138055,8.59297,8.60677,0.000588425,0.00288176,4.90029,4.89741,15.398,15.398,-1.895,9.9827,-4753.74,20.0134
90,-0.00167743,-0.0144373,8.59234,8.60677,0.000495361,0.00242598,4.89984,4.89741,15.584,15.584,-1.9302,9.9749,-4841.8,19.9979
