"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,0,0,8.64164,8.64164,0,0,5.83992,5.83992,0,0,0.0036,9.9814,9.6905,20.0109
1,1.80987e-06,1.56403e-05,8.64165,8.64164,0.000110363,0.00064451,5.84057,5.83992,0.3,0.3,-0.0058,9.9769,-4.3636,20.0018
2,6.15608e-05,0.000531986,8.64217,8.64164,-6.15822e-05,-0.000359635,5.83956,5.83992,0.6,0.6,-0.0055,9.9608,-3.879,19.9695
3,7.31111e-05,0.0006318,8.64227,8.64164,0.000269422,0.00157341,5.8415,5.83992,0.9,0.9,-0.0022,9.9801,0.9672,20.0083
4,-1.24862e-05,-0.000107901,8.64153,8.64164,0.0001424,0.000831605,5.84076,5.83992,1.3,1.3,-0.0058,9.9724,-4.3636,19.9928
5,9.89554e-06,8.55137e-05,8.64172,8.64164,7.31622e-05,0.000427261,5.84035,5.83992,269.155,269.159,-0.0009,9.9759,-5.6543,19.9999
6,7.22845e-05,0.000624657,8.64226,8.64164,0.000217473,0.00127002,5.84119,5.83992,272.913,272.914,-0.008,9.9791,-23.4283,20.0063
7,4.47942e-06,3.87095e-05,8.64168,8.64164,8.38547e-05,0.000489705,5.84041,5.83992,276.967,276.968,0.001,9.9827,-0.8069,20.0134
8,-4.6635e-05,-0.000403003,8.64123,8.64164,7.86276e-05,0.000459179,5.84038,5.83992,428.696,428.7,-0.0193,9.9743,-51.7051,19.9966
9,-4.43863e-05,-0.00038357,8.64125,8.64164,1.89896e-05,0.000110898,5.84003,5.83992,429.535,429.536,-0.0093,9.9782,-26.6599,20.0044
10,2.50569e-05,0.000216533,8.64185,8.64164,7.85248e-05,0.000458579,5.84038,5.83992,429.661,429.662,-0.0167,9.9788,-45.2419,20.0057
11,-2.06949e-05,-0.000178838,8.64146,8.64164,8.86518e-05,0.00051772,5.84044,5.83992,429.911,429.911,-0.0193,9.9746,-51.7051,19.9973
12,-3.2072e-05,-0.000277155,8.64136,8.64164,0.000276164,0.00161278,5.84154,5.83992,431.093,431.094,-0.0296,9.9827,-77.5582,20.0134
13,-7.57533e-05,-0.000654633,8.64098,8.64164,0.000193334,0.00112906,5.84105,5.83992,431.22,431.22,-0.0399,9.9817,-103.411,20.0115
14,-5.87111e-05,-0.00050736,8.64113,8.64164,0.000217205,0.00126846,5.84119,5.83992,431.407,431.407,-0.0648,9.9814,-165.62,20.0109
15,-6.4316e-05,-0.000555795,8.64108,8.64164,5.44964e-06,3.18255e-05,5.83996,5.83992,431.531,431.532,-0.0793,9.9807,-201.976,20.0096
16,-6.05484e-05,-0.000523237,8.64111,8.64164,-2.54784e-05,-0.000148792,5.83978,5.83992,431.718,431.718,-0.0979,9.9778,-248.835,20.0037
17,-0.000141951,-0.00122669,8.64041,8.64164,-4.62073e-05,-0.000269847,5.83965,5.83992,431.909,431.909,-0.1369,9.9778,-346.592,20.0037
18,-0.000133637,-0.00115484,8.64048,8.64164,0.000180676,0.00105513,5.84098,5.83992,432.032,432.032,-0.1498,9.9756,-378.908,19.9992
19,-0.000160591,-0.00138777,8.64025,8.64164,0.000175943,0.0010275,5.84095,5.83992,432.155,432.155,-0.1769,9.9785,-446.773,20.005
20,-0.000183075,-0.00158207,8.64006,8.64164,8.62997e-05,0.000503984,5.84043,5.83992,432.285,432.285,-0.1856,9.9656,-468.586,19.9792
21,-0.000234746,-0.00202859,8.63961,8.64164,-5.73754e-06,-3.35068e-05,5.83989,5.83992,432.411,432.411,-0.2111,9.9804,-532.411,20.0089
22,-0.000247576,-0.00213946,8.6395,8.64164,0.000207285,0.00121053,5.84113,5.83992,432.533,432.533,-0.2494,9.9746,-628.552,19.9973
23,-0.000283248,-0.00244772,8.63919,8.64164,0.00010975,0.00064093,5.84057,5.83992,432.665,432.666,-0.2813,9.9782,-708.535,20.0044
24,-0.000290622,-0.00251145,8.63913,8.64164,0.00018914,0.00110456,5.84103,5.83992,432.842,432.842,-0.3281,9.9807,-825.682,20.0096
25,-0.000267403,-0.0023108,8.63933,8.64164,0.000348505,0.00203524,5.84196,5.83992,432.968,432.968,-0.3519,9.9798,-885.468,20.0076
26,-0.00021524,-0.00186003,8.63978,8.64164,0.000168809,0.000985833,5.84091,5.83992,433.097,433.097,-0.3793,9.9762,-954.14,20.0005
27,-0.000147782,-0.00127708,8.64036,8.64164,0.000135874,0.000793494,5.84072,5.83992,433.217,433.217,-0.4093,9.9736,-1029.28,19.9953
28,-0.000275208,-0.00237825,8.63926,8.64164,0.000248468,0.00145103,5.84138,5.83992,433.342,433.342,-0.4438,9.9749,-1115.72,19.9979
29,-0.000380138,-0.00328502,8.63835,8.64164,0.000101486,0.000592671,5.84052,5.83992,433.473,433.473,-0.4686,9.9811,-1177.93,20.0102
30,-0.00037254,-0.00321935,8.63842,8.64164,9.21074e-05,0.0005379,5.84046,5.83992,433.593,433.593,-0.5063,9.9746,-1272.46,19.9973
31,-0.000578446,-0.00499872,8.63664,8.64164,0.000339117,0.00198042,5.8419,5.83992,433.73,433.731,-0.5388,9.972,-1354.05,19.9921
32,-0.000476738,-0.0041198,8.63752,8.64164,0.000334453,0.00195318,5.84188,5.83992,433.852,433.852,-0.5743,9.9782,-1442.92,20.0044
33,-0.000445706,-0.00385163,8.63779,8.64164,0.000236001,0.00137823,5.8413,5.83992,433.972,433.972,-0.601,9.9778,-1509.98,20.0037
34,-0.000467684,-0.00404156,8.6376,8.64164,0.000236104,0.00137883,5.8413,5.83992,434.094,434.094,-0.6313,9.9804,-1585.92,20.0089
35,-0.000517524,-0.00447226,8.63717,8.64164,0.000306673,0.00179095,5.84171,5.83992,434.225,434.225,-0.6649,9.9778,-1669.95,20.0037
36,-0.000564035,-0.00487419,8.63676,8.64164,0.000113109,0.000660546,5.84058,5.83992,434.356,434.356,-0.6997,9.9791,-1757.2,20.0063
37,-0.000541979,-0.00468359,8.63695,8.64164,0.000283114,0.00165336,5.84158,5.83992,434.484,434.484,-0.7277,9.9795,-1827.49,20.007
38,-0.00059525,-0.00514394,8.63649,8.64164,0.000203907,0.0011908,5.84111,5.83992,434.607,434.608,-0.7593,9.9733,-1906.67,19.9947
39,-0.000695296,-0.0060085,8.63563,8.64164,0.000146165,0.000853592,5.84078,5.83992,434.745,434.745,-0.7918,9.9788,-1988.26,20.0057
40,-0.000711061,-0.00614474,8.63549,8.64164,0.000327766,0.00191413,5.84184,5.83992,434.84,434.841,-0.8273,9.972,-2077.13,19.9921
41,-0.000687559,-0.00594164,8.6357,8.64164,0.000299695,0.0017502,5.84167,5.83992,434.976,434.976,-0.8389,9.9749,-2106.22,19.9979
42,-0.000703474,-0.00607917,8.63556,8.64164,0.000256915,0.00150037,5.84142,5.83992,435.103,435.103,-0.8808,9.974,-2211.25,19.996
43,-0.000742463,-0.00641609,8.63522,8.64164,0.000249526,0.00145721,5.84138,5.83992,435.227,435.227,-0.9172,9.9724,-2302.54,19.9928
44,-0.00077648,-0.00671006,8.63493,8.64164,0.000221353,0.00129269,5.84122,5.83992,435.35,435.35,-0.9423,9.9769,-2365.56,20.0018
45,-0.000808969,-0.00699082,8.63465,8.64164,0.000249781,0.0014587,5.84138,5.83992,435.468,435.468,-0.9807,9.9791,-2461.7,20.0063
46,-0.0008128,-0.00702393,8.63461,8.64164,0.000267357,0.00156134,5.84149,5.83992,435.596,435.596,-1.0062,9.9753,-2525.52,19.9986
47,-0.000854548,-0.00738469,8.63425,8.64164,0.000411432,0.00240273,5.84233,5.83992,435.723,435.723,-1.0352,9.9775,-2598.24,20.0031
48,-0.000910919,-0.00787183,8.63377,8.64164,0.000473173,0.0027633,5.84269,5.83992,435.839,435.839,-1.0648,9.9862,-2672.56,20.0205
49,-0.000930323,-0.00803951,8.6336,8.64164,0.000428764,0.00250395,5.84243,5.83992,436.026,436.026,-1.1122,9.9801,-2791.33,20.0083
50,-0.000953312,-0.00823818,8.6334,8.64164,0.00042801,0.00249955,5.84242,5.83992,436.151,436.151,-1.118,9.9791,-2805.87,20.0063
51,-0.00096548,-0.00834333,8.63329,8.64164,0.000362688,0.00211807,5.84204,5.83992,436.278,436.278,-1.1663,9.9775,-2927.05,20.0031
52,-0.00095917,-0.0082888,8.63335,8.64164,0.000268636,0.00156881,5.84149,5.83992,436.399,436.4,-1.1937,9.9801,-2995.73,20.0083
53,-0.00105754,-0.00913891,8.6325,8.64164,0.000294203,0.00171812,5.84164,5.83992,436.526,436.527,-1.2221,9.9775,-3066.82,20.0031
54,-0.00111042,-0.00959587,8.63204,8.64164,0.000395317,0.00230862,5.84223,5.83992,436.66,436.66,-1.2179,9.9753,-3056.32,19.9986
55,-0.00119338,-0.0103128,8.63132,8.64164,0.000472426,0.00275893,5.84268,5.83992,436.796,436.796,-1.2869,9.9795,-3229.21,20.007
