Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","41.81021","0.89712","0.00000"
"0.10000","0.00022","43.36198","0.93041","0.00000"
"0.20000","0.00124","53.98162","1.15828","0.00001"
"0.30000","0.00346","80.52380","1.72779","0.00003"
"0.40000","0.00636","116.97310","2.50988","0.00006"
"0.50000","0.00820","140.14102","3.00699","0.00008"
"0.60000","0.01089","175.36617","3.76281","0.00011"
"0.70000","0.01265","196.37614","4.21362","0.00013"
"0.80000","0.01485","223.83388","4.80278","0.00015"
"0.90000","0.01736","253.64253","5.44238","0.00017"
"1.00000","0.01907","273.34653","5.86516","0.00019"
"1.10000","0.02157","307.10687","6.58956","0.00022"
"1.20000","0.02358","331.92529","7.12208","0.00024"
"1.30000","0.02555","359.34424","7.71041","0.00026"
"1.40000","0.02826","399.59656","8.57410","0.00028"
"1.50000","0.03004","423.89432","9.09545","0.00030"
"1.60000","0.03226","459.18686","9.85272","0.00032"
"1.70000","0.03454","494.94324","10.61994","0.00035"
"1.80000","0.03638","524.28284","11.24947","0.00036"
"1.90000","0.03907","572.61346","12.28650","0.00039"
"2.00000","0.04104","604.49567","12.97059","0.00041"
"2.10000","0.04295","638.63049","13.70302","0.00043"
"2.20000","0.04554","687.86078","14.75935","0.00046"
"2.30000","0.04733","719.18414","15.43145","0.00047"
"2.40000","0.04966","765.14734","16.41768","0.00050"
"2.50000","0.05196","809.07092","17.36014","0.00052"
"2.60000","0.05375","842.35675","18.07435","0.00054"
"2.70000","0.05631","895.16119","19.20737","0.00056"
"2.80000","0.05827","931.91748","19.99604","0.00058"
"2.90000","0.06025","971.47711","20.84487","0.00060"
"3.00000","0.06295","1027.95972","22.05681","0.00063"
"3.10000","0.06464","1059.42249","22.73190","0.00065"
"3.20000","0.06692","1107.44788","23.76238","0.00067"
"3.30000","0.06922","1154.49255","24.77181","0.00069"
"3.40000","0.07104","1190.78809","25.55060","0.00071"
"3.50000","0.07381","1251.95044","26.86295","0.00074"
"3.60000","0.07562","1286.06274","27.59489","0.00076"
"3.70000","0.07763","1328.20886","28.49922","0.00078"
"3.80000","0.08010","1381.64246","29.64574","0.00080"
"3.90000","0.08196","1419.42883","30.45651","0.00082"
"4.00000","0.08445","1474.79041","31.64440","0.00084"
"4.10000","0.08659","1518.71790","32.58695","0.00087"
"4.20000","0.08841","1556.21875","33.39160","0.00088"
"4.30000","0.09103","1616.08850","34.67622","0.00091"
"4.40000","0.09291","1654.32288","35.49661","0.00093"
"4.50000","0.09497","1701.13208","36.50099","0.00095"
"4.60000","0.09758","1764.09778","37.85204","0.00098"
"4.70000","0.09933","1802.71973","38.68074","0.00099"
"4.80000","0.10172","1861.32922","39.93832","0.00102"
"4.90000","0.10378","1908.98645","40.96089","0.00104"
"5.00000","0.10574","1939.60913","41.61796","0.00106"
"5.10000","0.10854","2006.83179","43.06035","0.00109"
"5.20000","0.11025","2042.55103","43.82677","0.00110"
"5.30000","0.11235","2092.93335","44.90782","0.00112"
"5.40000","0.11472","2151.33154","46.16086","0.00115"
"5.50000","0.11658","2194.97803","47.09738","0.00117"
"5.60000","0.11916","2262.26440","48.54113","0.00119"
"5.70000","0.12126","2312.33472","49.61549","0.00121"
"5.80000","0.12308","2356.18530","50.55639","0.00123"
"5.90000","0.12557","2421.99609","51.96848","0.00126"
"6.00000","0.12749","2469.14233","52.98009","0.00127"
"6.10000","0.12976","2529.18359","54.26839","0.00130"
"6.20000","0.13221","2593.19141","55.64180","0.00132"
"6.30000","0.13398","2635.81665","56.55640","0.00134"
"6.40000","0.13641","2700.90698","57.95304","0.00136"
"6.50000","0.13840","2750.33350","59.01358","0.00138"
"6.60000","0.14038","2800.89111","60.09838","0.00140"
"6.70000","0.14315","2877.48804","61.74192","0.00143"
"6.80000","0.14493","2919.79565","62.64970","0.00145"
"6.90000","0.14713","2977.86377","63.89566","0.00147"
"7.00000","0.14930","3033.84692","65.09689","0.00149"
"7.10000","0.15125","3083.25415","66.15701","0.00151"
"7.20000","0.15394","3158.13794","67.76379","0.00154"
"7.30000","0.15587","3203.94336","68.74663","0.00156"
"7.40000","0.15775","3251.20605","69.76073","0.00158"
"7.50000","0.16034","3322.18115","71.28364","0.00160"
"7.60000","0.16211","3364.41919","72.18994","0.00162"
"7.70000","0.16449","3428.58960","73.56683","0.00164"
"7.80000","0.16689","3490.41626","74.89344","0.00167"
"7.90000","0.16862","3531.08130","75.76598","0.00169"
"8.00000","0.17105","3596.65186","77.17293","0.00171"
"8.10000","0.17306","3645.93530","78.23039","0.00173"
"8.20000","0.17509","3697.14209","79.32913","0.00175"
"8.30000","0.17782","3771.39600","80.92239","0.00178"
"8.40000","0.17950","3808.77563","81.72444","0.00180"
"8.50000","0.18186","3871.08057","83.06131","0.00182"
"8.60000","0.18395","3922.08911","84.15579","0.00184"
"8.70000","0.18581","3966.36157","85.10574","0.00186"
"8.80000","0.18867","4045.27563","86.79900","0.00189"
"8.90000","0.19050","4085.58838","87.66398","0.00190"
"9.00000","0.19248","4133.46924","88.69135","0.00192"
"9.10000","0.19494","4197.36768","90.06242","0.00195"
"9.20000","0.19674","4237.80176","90.93000","0.00197"
"9.30000","0.19926","4304.60889","92.36347","0.00199"
"9.40000","0.20142","4355.57373","93.45702","0.00201"
"9.50000","0.20320","4395.63428","94.31660","0.00203"
"9.60000","0.20586","4466.82373","95.84410","0.00206"
"9.70000","0.20769","4506.85742","96.70309","0.00208"
"9.80000","0.20983","4559.96143","97.84254","0.00210"
"9.90000","0.21246","4627.60205","99.29390","0.00212"
"10.00000","0.21412","4661.87061","100.02920","0.00214"
"10.10000","0.21656","4725.45947","101.39362","0.00217"
"10.20000","0.21859","4771.73047","102.38644","0.00219"
"10.30000","0.22060","4819.42236","103.40977","0.00221"
"10.40000","0.22332","4891.34766","104.95306","0.00223"
"10.50000","0.22507","4927.23682","105.72313","0.00225"
"10.60000","0.22723","4980.37305","106.86327","0.00227"
"10.70000","0.22962","5039.02881","108.12183","0.00230"
"10.80000","0.23136","5075.90088","108.91299","0.00231"
"10.90000","0.23401","5146.10693","110.41940","0.00234"
"11.00000","0.23611","5192.82910","111.42191","0.00236"
"11.10000","0.23795","5233.12939","112.28663","0.00238"
"11.20000","0.24052","5299.14160","113.70304","0.00241"
"11.30000","0.24228","5335.17529","114.47621","0.00242"
"11.40000","0.24457","5392.01074","115.69572","0.00245"
"11.50000","0.24700","5451.45703","116.97126","0.00247"
"11.60000","0.24873","5486.86670","117.73104","0.00249"
"11.70000","0.25129","5552.86182","119.14709","0.00251"
"11.80000","0.25324","5594.27344","120.03565","0.00253"
"11.90000","0.25528","5640.97070","121.03763","0.00255"
