"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,0,0,9.11688,9.11688,0,0,5.40499,5.40499,0,0.004,-0.0225,9.9785,-59.7842,20.005
1,-0.000103837,-0.000946667,9.11593,9.11688,-5.67285e-05,-0.000306617,5.40468,5.40499,3.03,3.03,-0.0325,9.9759,-84.8294,19.9999
2,7.2129e-06,6.57591e-05,9.11694,9.11688,2.41263e-05,0.000130402,5.40512,5.40499,3.345,3.345,-0.0383,9.9765,-99.3718,20.0012
3,-2.312e-05,-0.000210782,9.11667,9.11688,-0.000133365,-0.000720838,5.40427,5.40499,3.716,3.716,-0.0577,9.9746,-147.846,19.9973
4,-7.49415e-05,-0.000683232,9.11619,9.11688,-0.000157328,-0.000850356,5.40414,5.40499,4.092,4.092,-0.0741,9.9782,-189.05,20.0044
5,-5.5052e-05,-0.000501903,9.11637,9.11688,5.56589e-05,0.000300836,5.40529,5.40499,4.34,4.34,-0.0834,9.9772,-212.479,20.0025
6,-6.2656e-05,-0.000571227,9.11631,9.11688,-8.95755e-05,-0.000484155,5.40451,5.40499,4.714,4.714,-0.0973,9.9814,-247.219,20.0109
7,-0.0001239,-0.00112958,9.11575,9.11688,7.31249e-05,0.000395239,5.40539,5.40499,5.214,5.214,-0.1134,9.9814,-287.615,20.0109
8,-0.000220884,-0.00201377,9.11486,9.11688,-1.93619e-05,-0.000104651,5.40489,5.40499,5.59,5.59,-0.1315,9.983,-332.858,20.0141
9,-0.000307611,-0.00280445,9.11407,9.11688,3.80419e-05,0.000205616,5.4052,5.40499,5.776,5.776,-0.1405,9.9827,-355.479,20.0134
10,-0.000241815,-0.00220459,9.11467,9.11688,-5.06307e-05,-0.000273658,5.40472,5.40499,6.025,6.025,-0.1553,9.9791,-392.643,20.0063
11,-0.000181624,-0.00165584,9.11522,9.11688,8.12676e-05,0.000439251,5.40543,5.40499,6.276,6.276,-0.1689,9.9733,-426.575,19.9947
12,-0.000229764,-0.00209473,9.11478,9.11688,0.000132828,0.000717932,5.40571,5.40499,6.651,6.651,-0.1917,9.9836,-483.937,20.0154
13,-0.000348559,-0.00317777,9.1137,9.11688,3.6114e-05,0.000195196,5.40519,5.40499,6.836,6.836,-0.2069,9.9736,-521.908,19.9953
14,-0.000382838,-0.00349029,9.11339,9.11688,0.000138065,0.000746239,5.40574,5.40499,6.963,6.963,-0.2272,9.9804,-572.807,20.0089
15,-0.000385949,-0.00351865,9.11336,9.11688,0.000185944,0.00100503,5.406,5.40499,7.148,7.148,-0.2449,9.983,-617.242,20.0141
16,-0.00044715,-0.00407661,9.1128,9.11688,0.000145854,0.00078834,5.40578,5.40499,7.273,7.273,-0.251,9.9807,-632.592,20.0096
17,-0.000469242,-0.00427802,9.1126,9.11688,0.000199058,0.00107591,5.40607,5.40499,7.4,7.4,-0.2788,9.9772,-702.072,20.0025
18,-0.000471239,-0.00429623,9.11258,9.11688,0.000115372,0.000623587,5.40561,5.40499,7.587,7.587,-0.3042,9.974,-765.897,19.996
19,-0.000422772,-0.00385436,9.11302,9.11688,0.000320008,0.00172964,5.40672,5.40499,7.709,7.709,-0.3068,9.9804,-772.36,20.0089
20,-0.000556782,-0.00507612,9.1118,9.11688,9.03106e-06,4.88128e-05,5.40504,5.40499,7.839,7.839,-0.3377,9.9849,-849.919,20.018
21,-0.000547853,-0.00499471,9.11188,9.11688,0.000106388,0.000575026,5.40557,5.40499,8.021,8.021,-0.3696,9.9769,-929.903,20.0018
