"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
33,-0.000571601,-0.0054037,9.44822,9.45362,0.00010092,0.000571908,5.66751,5.66694,7.646,7.646,-0.7187,9.9801,-1804.87,20.0083
34,-0.000544713,-0.00514951,9.44847,9.45362,6.62043e-05,0.000375176,5.66732,5.66694,7.768,7.768,-0.7525,9.9778,-1889.7,20.0037
35,-0.00057658,-0.00545077,9.44817,9.45362,4.68154e-05,0.0002653,5.66721,5.66694,7.895,7.895,-0.7602,9.9782,-1909.09,20.0044
36,-0.000565389,-0.00534498,9.44828,9.45362,-4.75887e-05,-0.000269682,5.66667,5.66694,8.018,8.018,-0.7947,9.9798,-1995.54,20.0076
37,-0.000588126,-0.00555992,9.44806,9.45362,0.000338425,0.00191784,5.66886,5.66694,8.145,8.145,-0.8237,9.973,-2068.25,19.9941
38,-0.00061682,-0.00583118,9.44779,9.45362,0.000239083,0.00135487,5.66829,5.66694,8.269,8.269,-0.8556,9.9798,-2148.23,20.0076
39,-0.000668812,-0.00632269,9.4473,9.45362,0.000172565,0.000977918,5.66792,5.66694,8.392,8.392,-0.8805,9.9843,-2210.44,20.0167
40,-0.000716954,-0.00677781,9.44685,9.45362,0.000231494,0.00131186,5.66825,5.66694,8.517,8.517,-0.9072,9.9853,-2277.5,20.0186
41,-0.000734869,-0.00694718,9.44668,9.45362,0.000212516,0.00120432,5.66814,5.66694,8.644,8.644,-0.9352,9.9765,-2347.78,20.0012
42,-0.000702688,-0.00664295,9.44698,9.45362,0.000233724,0.0013245,5.66826,5.66694,8.77,8.77,-0.9494,9.9801,-2383.33,20.0083
43,-0.000697899,-0.00659767,9.44703,9.45362,0.000247937,0.00140504,5.66834,5.66694,8.894,8.894,-0.9891,9.9811,-2482.7,20.0102
44,-0.000748825,-0.00707911,9.44654,9.45362,0.000218319,0.0012372,5.66818,5.66694,9.016,9.016,-1.0174,9.9749,-2553.8,19.9979
45,-0.000794027,-0.00750643,9.44612,9.45362,0.00036526,0.0020699,5.66901,5.66694,9.205,9.205,-1.0545,9.9798,-2646.71,20.0076
46,-0.000739673,-0.00699259,9.44663,9.45362,6.07207e-05,0.000344101,5.66728,5.66694,9.329,9.329,-1.0858,9.982,-2725.08,20.0121
47,-0.000807098,-0.00763,9.44599,9.45362,0.000122149,0.000692209,5.66763,5.66694,9.454,9.454,-1.1167,9.9801,-2802.64,20.0083
48,-0.000859573,-0.00812608,9.4455,9.45362,-8.12462e-05,-0.000460417,5.66648,5.66694,9.585,9.585,-1.1441,9.9701,-2871.31,19.9882
49,-0.000818351,-0.00773638,9.44589,9.45362,9.01883e-05,0.000511092,5.66745,5.66694,9.767,9.767,-1.1837,9.9704,-2970.68,19.9889
50,-0.000901521,-0.00852264,9.4451,9.45362,8.89052e-05,0.00050382,5.66744,5.66694,9.89,9.89,-1.2111,9.9756,-3039.35,19.9992
51,-0.000969994,-0.00916996,9.44445,9.45362,0.000359247,0.00203583,5.66898,5.66694,10.015,10.015,-1.2401,9.983,-3112.07,20.0141
52,-0.000992344,-0.00938124,9.44424,9.45362,0.000380577,0.00215671,5.6691,5.66694,10.139,10.139,-1.2572,9.9782,-3154.89,20.0044
53,-0.00100678,-0.00951772,9.44411,9.45362,0.000421463,0.00238841,5.66933,5.66694,10.264,10.264,-1.2975,9.9836,-3255.87,20.0154
54,-0.000930845,-0.00879986,9.44482,9.45362,0.00019145,0.00108494,5.66803,5.66694,10.393,10.393,-1.3246,9.9811,-3323.74,20.0102
55,-0.000995502,-0.0094111,9.44421,9.45362,0.000257653,0.0014601,5.6684,5.66694,10.514,10.514,-1.3594,9.9791,-3410.99,20.0063
56,-0.000972105,-0.00918991,9.44443,9.45362,0.0003764,0.00213304,5.66907,5.66694,10.639,10.639,-1.3761,9.9727,-3453,19.9934
57,-0.0010629,-0.0100483,9.44357,9.45362,3.40587e-05,0.000193008,5.66713,5.66694,10.765,10.765,-1.4071,9.9791,-3530.56,20.0063
58,-0.00104644,-0.00989262,9.44373,9.45362,0.000523085,0.00296429,5.6699,5.66694,10.889,10.889,-1.4325,9.9782,-3594.39,20.0044
59,-0.00103307,-0.00976629,9.44386,9.45362,0.000224019,0.0012695,5.66821,5.66694,11.014,11.014,-1.4673,9.9795,-3681.64,20.007
60,-0.00109862,-0.0103859,9.44324,9.45362,0.000226099,0.00128129,5.66822,5.66694,11.138,11.138,-1.4918,9.9778,-3743.04,20.0037
61,-0.00109631,-0.0103641,9.44326,9.45362,0.000334685,0.00189664,5.66884,5.66694,11.264,11.264,-1.5196,9.9814,-3812.52,20.0109
62,-0.00108461,-0.0102535,9.44337,9.45362,0.000198995,0.00112769,5.66807,5.66694,11.387,11.387,-1.5408,9.9775,-3865.85,20.0031
63,-0.00111153,-0.010508,9.44312,9.45362,0.000244091,0.00138325,5.66832,5.66694,11.512,11.512,-1.5795,9.9759,-3962.8,19.9999
64,-0.00117531,-0.0111109,9.44251,9.45362,0.000134345,0.000761325,5.6677,5.66694,11.637,11.637,-1.5998,9.9814,-4013.69,20.0109
65,-0.00116306,-0.0109951,9.44263,9.45362,0.00030212,0.0017121,5.66865,5.66694,11.763,11.763,-1.6246,9.9736,-4075.9,19.9953
66,-0.00122977,-0.0116258,9.442,9.45362,0.000238372,0.00135084,5.66829,5.66694,11.887,11.887,-1.6478,9.9772,-4134.07,20.0025
67,-0.00121205,-0.0114583,9.44217,9.45362,0.000819548,0.00464433,5.67158,5.66694,12.014,12.014,-1.6784,9.9778,-4210.82,20.0037
68,-0.00121755,-0.0115103,9.44211,9.45362,0.0003766,0.00213417,5.66907,5.66694,12.136,12.136,-1.7023,9.974,-4270.61,19.996
69,-0.00126985,-0.0120047,9.44162,9.45362,0.000315904,0.00179021,5.66873,5.66694,12.263,12.263,-1.7303,9.9778,-4340.9,20.0037
70,-0.00129137,-0.0122082,9.44142,9.45362,0.000450594,0.00255349,5.66949,5.66694,12.387,12.387,-1.75,9.9762,-4390.18,20.0005
71,-0.00128965,-0.0121918,9.44143,9.45362,0.000482419,0.00273384,5.66967,5.66694,12.511,12.511,-1.7867,9.9795,-4482.28,20.007
72,-0.00135056,-0.0127676,9.44086,9.45362,0.000426679,0.00241796,5.66936,5.66694,12.636,12.636,-1.8141,9.9817,-4550.95,20.0115
73,-0.00136725,-0.0129255,9.4407,9.45362,0.000378181,0.00214313,5.66908,5.66694,12.76,12.76,-1.836,9.9759,-4605.89,19.9999
74,-0.00131177,-0.012401,9.44122,9.45362,0.000461886,0.00261748,5.66956,5.66694,12.886,12.886,-1.867,9.9736,-4683.45,19.9953
75,-0.00139066,-0.0131467,9.44048,9.45362,0.000226186,0.00128178,5.66822,5.66694,13.073,13.073,-1.8895,9.9814,-4740.01,20.0109
76,-0.00138061,-0.0130518,9.44057,9.45362,0.000223237,0.00126507,5.66821,5.66694,13.197,13.197,-1.9279,9.9769,-4836.15,20.0018
77,-0.00138892,-0.0131303,9.44049,9.45362,0.000360251,0.00204152,5.66898,5.66694,13.323,13.323,-1.9511,9.9775,-4894.32,20.0031
78,-0.00147205,-0.0139162,9.43971,9.45362,0.000364057,0.00206309,5.669,5.66694,13.511,13.511,-1.9888,9.9775,-4988.84,20.0031
79,-0.001449,-0.0136983,9.43993,9.45362,0.000420483,0.00238285,5.66932,5.66694,13.638,13.638,-2.0188,9.9746,-5063.98,19.9973
80,-0.0015023,-0.0142022,9.43942,9.45362,0.000423095,0.00239766,5.66934,5.66694,13.758,13.758,-2.0436,9.9778,-5126.19,20.0037
81,-0.00149854,-0.0141666,9.43946,9.45362,0.000410234,0.00232477,5.66926,5.66694,13.885,13.885,-2.0616,9.9798,-5171.43,20.0076
82,-0.00143805,-0.0135948,9.44003,9.45362,0.000402448,0.00228065,5.66922,5.66694,14.008,14.008,-2.0784,9.9762,-5213.44,20.0005
83,-0.00153145,-0.0144777,9.43915,9.45362,0.000404217,0.00229068,5.66923,5.66694,14.134,14.134,-2.118,9.9769,-5312.81,20.0018
84,-0.0014942,-0.0141256,9.4395,9.45362,0.000393306,0.00222884,5.66917,5.66694,14.321,14.321,-2.1609,9.9749,-5420.27,19.9979
85,-0.00152962,-0.0144604,9.43916,9.45362,0.000361807,0.00205034,5.66899,5.66694,14.449,14.449,-2.1809,9.9727,-5470.36,19.9934
86,-0.00155742,-0.0147232,9.4389,9.45362,0.00038553,0.00218477,5.66912,5.66694,14.57,14.57,-2.2093,9.9765,-5541.45,20.0012
87,-0.00155733,-0.0147224,9.4389,9.45362,0.000551065,0.00312285,5.67006,5.66694,14.759,14.759,-2.2447,9.9691,-5630.32,19.9863
88,-0.00157134,-0.0148549,9.43877,9.45362,0.000453422,0.00256951,5.66951,5.66694,14.885,14.885,-2.2776,9.9765,-5712.73,20.0012
89,-0.00161787,-0.0152947,9.43833,9.45362,0.000518173,0.00293645,5.66988,5.66694,15.07,15.07,-2.3011,9.9827,-5771.71,20.0134
90,-0.00161445,-0.0152624,9.43836,9.45362,0.000324043,0.00183633,5.66878,5.66694,15.194,15.195,-2.3349,9.9669,-5856.54,19.9818
91,-0.00165328,-0.0156295,9.43799,9.45362,0.000464213,0.00263067,5.66957,5.66694,15.382,15.382,-2.3817,9.9807,-5973.69,20.0096
92,-0.00166466,-0.0157371,9.43789,9.45362,0.000368416,0.00208779,5.66903,5.66694,15.568,15.569,-2.4075,9.9798,-6038.32,20.0076
93,-0.00171142,-0.0161792,9.43744,9.45362,0.000391272,0.00221731,5.66916,5.66694,15.693,15.693,-2.4236,9.9772,-6078.71,20.0025
94,-0.0017165,-0.0162272,9.4374,9.45362,0.000533968,0.00302596,5.66997,5.66694,15.818,15.818,-2.4597,9.9769,-6169.2,20.0018
95,-0.00173611,-0.0164125,9.43721,9.45362,0.000434362,0.00246151,5.6694,5.66694,15.943,15.943,-2.4896,9.9791,-6244.34,20.0063
96,-0.00184305,-0.0174235,9.4362,9.45362,0.000654581,0.00370947,5.67065,5.66694,16.071,16.071,-2.5141,9.9804,-6305.74,20.0089
97,-0.00185777,-0.0175627,9.43606,9.45362,0.000547646,0.00310348,5.67004,5.66694,16.192,16.192,-2.5309,9.9804,-6347.75,20.0089
98,-0.00188957,-0.0178633,9.43576,9.45362,0.000502607,0.00284824,5.66979,5.66694,16.381,16.381,-2.5676,9.974,-6439.85,19.996
99,-0.00190762,-0.0180339,9.43559,9.45362,0.000485788,0.00275293,5.66969,5.66694,16.504,16.504,-2.5963,9.9875,-6511.76,20.0231
100,-0.00186037,-0.0175873,9.43604,9.45362,0.00040058,0.00227006,5.66921,5.66694,16.631,16.631,-2.6182,9.9762,-6566.69,20.0005
101,-0.00178715,-0.016895,9.43673,9.45362,0.000526342,0.00298275,5.66992,5.66694,16.757,16.758,-2.6308,9.9849,-6598.2,20.018
102,-0.00186613,-0.0176417,9.43598,9.45362,0.000384386,0.00217829,5.66912,5.66694,16.881,16.881,-2.6653,9.9775,-6684.65,20.0031
103,-0.00194416,-0.0183793,9.43524,9.45362,0.000555696,0.0031491,5.67009,5.66694,17.003,17.003,-2.6882,9.9736,-6742.01,19.9953
104,-0.00195705,-0.0185012,9.43512,9.45362,0.000454938,0.0025781,5.66952,5.66694,17.13,17.131,-2.7123,9.9788,-6802.6,20.0057
105,-0.00193761,-0.0183174,9.43531,9.45362,0.000320186,0.00181448,5.66875,5.66694,17.253,17.254,-2.7384,9.972,-6868.04,19.9921
106,-0.00193882,-0.0183289,9.4353,9.45362,0.000525429,0.00297757,5.66992,5.66694,17.378,17.378,-2.761,9.9746,-6924.6,19.9973
107,-0.00194827,-0.0184182,9.43521,9.45362,0.000405012,0.00229518,5.66924,5.66694,17.502,17.502,-2.7781,9.9753,-6967.42,19.9986
108,-0.00200158,-0.0189222,9.4347,9.45362,0.000486655,0.00275785,5.6697,5.66694,17.627,17.627,-2.8026,9.9704,-7028.82,19.9889
109,-0.00202689,-0.0191615,9.43446,9.45362,0.00045385,0.00257194,5.66951,5.66694,17.753,17.753,-2.8271,9.9859,-7090.22,20.0199
110,-0.00199837,-0.0188918,9.43473,9.45362,0.000400117,0.00226744,5.66921,5.66694,17.941,17.941,-2.8648,9.9775,-7184.75,20.0031
111,-0.00192092,-0.0181596,9.43546,9.45362,0.000544324,0.00308465,5.67002,5.66694,18.064,18.064,-2.8861,9.9795,-7238.07,20.007
112,-0.00202192,-0.0191144,9.43451,9.45362,0.000544475,0.00308551,5.67003,5.66694,18.251,18.252,-2.9231,9.9801,-7330.98,20.0083
113,-0.00208495,-0.0197103,9.43391,9.45362,0.00046899,0.00265774,5.6696,5.66694,18.377,18.377,-2.9251,9.9743,-7335.83,19.9966
114,-0.00212319,-0.0200719,9.43355,9.45362,0.000485832,0.00275318,5.66969,5.66694,18.505,18.506,-2.9663,9.982,-7439.24,20.0121
115,-0.00208697,-0.0197295,9.43389,9.45362,0.000522123,0.00295884,5.6699,5.66694,18.69,18.69,-2.995,9.9798,-7511.14,20.0076
116,-0.00204764,-0.0193576,9.43427,9.45362,0.000558186,0.00316321,5.6701,5.66694,18.877,18.878,-3.0195,9.9801,-7572.54,20.0083
117,-0.0020418,-0.0193024,9.43432,9.45362,0.000533387,0.00302267,5.66996,5.66694,19.002,19.003,-3.0459,9.9736,-7638.79,19.9953
118,-0.00210391,-0.0198896,9.43373,9.45362,0.000579378,0.0032833,5.67022,5.66694,19.126,19.127,-3.0649,9.9824,-7686.46,20.0128
119,-0.00208219,-0.0196842,9.43394,9.45362,0.00062087,0.00351843,5.67046,5.66694,19.25,19.25,-3.0897,9.9749,-7748.67,19.9979
120,-0.00218086,-0.020617,9.43301,9.45362,0.000728178,0.00412654,5.67107,5.66694,19.375,19.376,-3.1059,9.974,-7789.07,19.996
121,-0.00227928,-0.0215474,9.43208,9.45362,0.000690997,0.00391584,5.67086,5.66694,19.5,19.501,-3.1391,9.9704,-7872.28,19.9889
122,-0.00228832,-0.0216329,9.43199,9.45362,0.000658814,0.00373346,5.67067,5.66694,19.624,19.624,-3.1565,9.9765,-7915.91,20.0012
123,-0.00225996,-0.0213648,9.43226,9.45362,0.000625181,0.00354286,5.67048,5.66694,19.749,19.749,-3.1726,9.9772,-7956.3,20.0025
124,-0.00230168,-0.0217592,9.43186,9.45362,0.000642801,0.00364271,5.67058,5.66694,19.875,19.876,-3.179,9.9843,-7972.46,20.0167
125,-0.00211642,-0.0200078,9.43362,9.45362,0.000603798,0.00342169,5.67036,5.66694,20.064,20.064,-3.208,9.9788,-8045.17,20.0057
126,-0.0018779,-0.0177529,9.43587,9.45362,7.43699e-05,0.00042145,5.66736,5.66694,20.185,20.185,-3.1184,9.9827,-7820.57,20.0134
127,-0.00184652,-0.0174563,9.43617,9.45362,0.000133086,0.00075419,5.66769,5.66694,20.31,20.311,-3.0369,9.9772,-7616.17,20.0025
128,-0.00189123,-0.017879,9.43574,9.45362,0.000161084,0.000912852,5.66785,5.66694,20.437,20.437,-2.9795,9.9817,-7472.36,20.0115
129,-0.00202079,-0.0191038,9.43452,9.45362,0.000370405,0.00209906,5.66904,5.66694,20.687,20.687,-2.9773,9.9772,-7466.71,20.0025
130,-0.00198676,-0.018782,9.43484,9.45362,0.000132296,0.000749712,5.66769,5.66694,20.874,20.874,-2.9853,9.972,-7486.91,19.9921
131,-0.00201319,-0.0190319,9.43459,9.45362,0.000174486,0.000988802,5.66793,5.66694,20.999,21,-3.0101,9.9833,-7549.12,20.0147
132,-0.00201571,-0.0190558,9.43457,9.45362,0.00018563,0.00105195,5.66799,5.66694,21.122,21.122,-3.0408,9.9811,-7625.87,20.0102
133,-0.00202686,-0.0191612,9.43446,9.45362,6.89019e-05,0.000390463,5.66733,5.66694,21.246,21.247,-3.0585,9.9743,-7670.3,19.9966
134,-0.00205078,-0.0193873,9.43424,9.45362,0.000173233,0.000981699,5.66792,5.66694,21.371,21.371,-3.0817,9.9795,-7728.47,20.007
135,-0.00190071,-0.0179686,9.43565,9.45362,0.000473024,0.0026806,5.66962,5.66694,21.561,21.561,-2.3888,9.9775,-5991.46,20.0031
136,-0.00193184,-0.0182629,9.43536,9.45362,0.000511575,0.00289907,5.66984,5.66694,21.683,21.683,-2.0139,9.9727,-5051.86,19.9934
137,-0.00191357,-0.0180902,9.43553,9.45362,0.000463118,0.00262446,5.66956,5.66694,21.809,21.809,-1.8312,9.9827,-4593.77,20.0134
138,-0.00189276,-0.0178934,9.43573,9.45362,0.000379868,0.00215269,5.66909,5.66694,21.933,21.933,-1.7406,9.9746,-4366.75,19.9973
139,-0.00190434,-0.0180029,9.43562,9.45362,0.000465165,0.00263606,5.66958,5.66694,22.059,22.059,-1.6942,9.9785,-4250.41,20.005
140,-0.00193719,-0.0183134,9.43531,9.45362,0.000465633,0.00263871,5.66958,5.66694,22.183,22.183,-1.6636,9.9798,-4173.66,20.0076
141,-0.00188677,-0.0178368,9.43579,9.45362,0.000437026,0.0024766,5.66942,5.66694,22.309,22.31,-1.6562,9.9807,-4155.08,20.0096
142,-0.00186352,-0.017617,9.43601,9.45362,0.000505754,0.00286608,5.66981,5.66694,22.433,22.433,-1.6423,9.9814,-4120.34,20.0109
143,-0.00192978,-0.0182434,9.43538,9.45362,0.000431184,0.00244349,5.66938,5.66694,22.56,22.56,-1.6346,9.9769,-4100.95,20.0018
